ID,KARMA,CREATED,SUBMISSIONS
0xdeadbeefbabe,286,1368460202,345
23david,520,1296243811,152
2muchcoffeeman,461,1293187025,380
31reasons,1217,1346526443,516
4ad,2502,1312476682,770
616c,1198,1355060664,463
67726e,1624,1345088543,306
72deluxe,392,1343998480,562
7Figures2Commas,2014,1365188378,667
8_hours_ago,110,1380157068,58
ANTSANTS,1975,1346073937,486
ASneakyFox,19,1394442565,199
Afforess,1715,1358977044,320
AhtiK,1342,1255448392,253
Aldo_MX,533,1363402871,265
Alex3917,16274,1172270676,5077
AlexanderDhoore,1202,1361115719,338
Alupis,721,1400030400,688
Amezarak,289,1387591199,112
AndrewDucker,16741,1228825147,2054
Animats,1069,1410156919,228
AnthonyMouse,3988,1333120512,1702
Argorak,4817,1284649073,1177
Artemis2,507,1378305703,195
AznHisoka,2267,1207186666,1970
Beltiras,180,1338392349,101
Certified,3,1413219762,3
ChuckMcM,38300,1286399595,8000
CmonDev,1169,1374664896,1216
ColinWright,70497,1260808770,9271
CyberDildonics,14,1413726448,11
DanAndersen,273,1385140757,78
Danieru,2204,1328424279,465
DavidAdams,861,1274760914,163
DenisM,5289,1208724375,2397
Dewie,1845,1364080104,1485
DigitalJack,1743,1341055235,686
Doctor_Fegg,460,1368437125,140
DominikR,1034,1333386019,343
DonHopkins,133,1397409739,182
DubiousPusher,11,1408472650,13
Dylan16807,4297,1265294771,3152
Eiriksmal,58,1406319552,62
EliRivers,2323,1264112211,901
Evolved,27,1379866388,39
ExpiredLink,1102,1313415452,666
GFK_of_xmaspast,680,1387519891,565
GarvielLoken,14,1379572671,30
Goopplesoft,534,1349536047,262
Gracana,709,1388332258,312
HanyouHottie,16,1364555540,6
HeyLaughingBoy,2889,1206375574,1728
Htsthbjig,303,1398678818,125
ISL,3730,1348260249,954
Icybee,14,1412080946,5
IkmoIkmo,343,1407058090,119
IvyMike,3221,1236709928,635
JTon,244,1329620600,150
JoeAltmaier,5822,1255899679,4919
JonnieCache,14548,1284370891,3325
JoshGlazebrook,735,1363069013,126
JumpCrisscross,13563,1306841888,2923
Kalium,239,1298576149,186
Karunamon,7446,1302558072,2895
Keats,108,1343042567,72
KeriWarr,3,1412775666,2
Keyframe,2284,1231686446,1104
LanceH,427,1366118347,195
Leszek,203,1335992709,73
LunaSea,37,1357592407,61
MCRed,366,1398101344,185
Mandatum,255,1340158414,224
MichaelGG,6465,1266705139,2679
Mikeb85,2061,1366939411,990
MrBuddyCasino,784,1321829444,296
MrJagil,708,1271630619,240
NicoJuicy,1055,1327395668,822
Ntrails,575,1345135668,286
Nursie,6009,1340604118,2426
Oculus,1313,1358878765,389
Osmium,2970,1349615173,817
PeterisP,3282,1314867565,1698
Pxtl,5307,1365775470,1733
Rafert,28,1368179152,19
RankingMember,325,1382721776,202
Raphmedia,466,1372270872,259
Retric,10551,1190391118,6004
RevRal,1211,1255386564,530
Roboprog,835,1275445272,786
RyJones,654,1324317760,282
S4M,1694,1310761128,618
STRML,685,1346604197,198
Schwolop,807,1323662529,334
Scuds,69,1393272110,67
SeoxyS,3480,1239263313,585
Shish2k,1326,1337717803,398
Shivetya,4664,1317901227,1489
Siecje,290,1363545473,177
Silhouette,6645,1238887875,2276
SixSigma,723,1390596060,479
Someone1234,1810,1403619631,617
Spooky23,4009,1337867868,1408
StavrosK,15827,1272119285,6420
Strilanc,1114,1277231207,319
Symmetry,6604,1271512372,2151
SyneRyder,257,1297955590,160
Taek,195,1374030693,91
ToastyMallows,410,1367800733,260
Torn,1197,1242303144,441
Touche,2695,1378904282,1252
VLM,5938,1335704205,3331
Vendan,46,1399727151,31
WalterBright,5030,1256980397,1566
WestCoastJustin,8593,1273679131,1566
Xeoncross,255,1300897226,71
XorNot,1992,1358897873,1183
ZeroGravitas,9621,1237813363,4003
__Joker,443,1253054442,134
__david__,3787,1236806881,1161
_delirium,32801,1264740195,8470
_nickwhite,12,1398780503,4
_pmf_,1330,1358784169,639
a8da6b0c91d,749,1374342475,557
aaron-lebo,618,1342201983,168
aarondf,546,1303008491,170
abecedarius,1707,1183404771,926
abruzzi,660,1322261687,286
acgourley,3050,1172011844,917
acqq,6950,1269700304,2164
actionscripted,143,1325603472,86
adamnemecek,12890,1311408287,1850
adamors,1192,1356801441,386
adestefan,2844,1278160838,1122
adventured,9413,1352969597,2367
adwf,809,1343945507,304
aetherson,1043,1353432219,330
afarrell,624,1279205394,286
agumonkey,4204,1318171413,1840
aidenn0,3708,1226597928,1834
aidos,1766,1291378226,691
aikah,312,1401888091,370
ajkjk,153,1360599231,55
ajuc,1869,1238087885,871
akavel,630,1278947277,141
akerl_,3016,1388776524,488
alain94040,4571,1186803909,1403
alexchamberlain,2099,1319116370,1092
alexose,59,1361504992,14
alexqgb,3913,1237235202,1066
alexvr,402,1362103844,181
ams6110,9819,1235934045,4350
analog31,1012,1373818743,509
andor,890,1302858242,298
andyhnj,13,1384369177,7
andyjohnson0,3758,1327426580,910
anigbrowl,34270,1240107667,10930
annnnd,613,1349172549,261
anon4,577,1384683429,444
antocv,1161,1368917341,505
antsar,687,1374546770,147
anu_gupta,4097,1344452335,427
api,9965,1191540985,1930
applecore,2218,1362879219,626
aptwebapps,1160,1312386094,617
arenaninja,161,1354649408,114
aroch,2151,1369173991,872
arrrg,3846,1238537513,1264
ars,15260,1215505101,6281
astazangasta,15,1363804687,17
at-fates-hands,2152,1339001337,986
atom-morgan,189,1372780807,175
atomical,1686,1279303915,468
avinassh,22,1403176152,35
avn2109,324,1355025767,182
avolcano,1812,1299954231,274
aw3c2,7741,1247520911,2391
baddox,11301,1203232489,5464
bane,26665,1294545378,5856
barrkel,15411,1172962522,3986
bcohen5055,111,1391031991,57
bdcs,239,1354830993,99
bdunbar,1239,1206393674,748
benbreen,2623,1401672952,165
bibonix,4,1412925359,11
billmalarky,241,1360288177,211
binarymax,3562,1267778922,804
bjz_,667,1366331391,270
blinkingled,2856,1291939443,852
blisterpeanuts,697,1338901625,353
bprater,3659,1200242062,1198
bradleyland,7422,1272252398,2118
brador,2164,1316187381,1055
brandonmenc,157,1342754607,96
brownbat,2246,1288766546,738
brudgers,13564,1274637385,5652
bryanlarsen,6398,1279021729,1860
byoung2,3411,1249842373,2108
cLeEOGPw,296,1366798420,343
cafard,1088,1289328425,1106
calcsam,322,1370379783,94
canvia,194,1366220674,149
carsongross,2280,1280510307,576
catkin,123,1368100413,9
ccozan,356,1292576051,165
ceejayoz,12566,1285277456,3564
cesarb,130,1393973011,43
cfontes,2234,1294154672,560
chii,912,1267767414,1019
chippy,1819,1305211394,556
chipsy,2470,1251124142,1014
chongli,1708,1346896967,732
chpp,9,1406903884,9
chrisBob,1140,1384865535,496
chton,560,1397205870,266
chubot,2154,1238950174,667
cjslep,162,1389109563,63
ck2,25101,1269553443,4697
click170,928,1246912273,376
cnvogel,810,1252440047,344
coding4all,47,1410594137,24
coherentpony,1236,1364662063,555
coldcode,2256,1364433640,907
coldpie,1035,1338998067,399
coldtea,12306,1360252032,5064
colechristensen,959,1315764440,252
colinramsay,512,1312291628,119
collyw,1176,1374741047,1504
computerjunkie,332,1372708029,65
conductor,7280,1286716200,799
conradfr,617,1321396342,393
coob,1281,1298837867,482
corin_,8674,1274656505,2984
couchand,889,1382919547,354
cperciva,35203,1182422025,4760
cpuguy83,52,1381325544,37
crazy1van,389,1334163803,228
cromwellian,5731,1270167333,991
crpatino,404,1225384067,393
cryptoz,11504,1245708088,2177
cscurmudgeon,645,1359051193,303
csdrane,243,1375278158,67
curiousDog,465,1332568534,205
curun1r,246,1328659713,133
cwyers,1032,1386985883,377
cylinder,868,1381352579,366
dag11,453,1335760086,158
dagw,7371,1244993186,2491
dalke,3961,1258321589,2506
dang,8515,1187454947,2900
dangoldin,6174,1206480915,1431
danielweber,8972,1335815860,3528
danso,47573,1308087057,5802
darkmighty,485,1368939911,295
davej,1249,1283861624,280
davidbarker,4335,1349784599,285
davidw,37176,1171923925,10938
dazbradbury,2261,1314644472,571
ddlatham,1740,1250807948,185
ddorian43,623,1305561721,366
deciplex,339,1393384865,275
defen,2867,1175366238,881
derefr,12204,1188169901,4174
derekp7,1012,1303755037,539
desdiv,51,1409912480,31
dijit,324,1374845060,142
diminish,2619,1290349627,886
diminoten,1809,1242396785,1510
diodorus,226,1412802661,6
diziet,945,1269798696,453
dkarapetyan,820,1396257788,325
dmix,10866,1202351108,2530
dnetesn,4461,1403193406,427
dominotw,1331,1359514697,385
dragonwriter,12346,1353015651,6421
drcode,3562,1172080007,1035
dreamweapon,475,1401817779,218
dredmorbius,10290,1310577781,4935
drivingmenuts,1163,1264391916,702
drzaiusapelord,4449,1299515238,942
dsl,4444,1296289808,1179
dspillett,2070,1294854440,1066
dsugarman,570,1332945699,208
duaneb,2624,1202924310,1438
dzhiurgis,164,1323135025,230
ehurrell,52,1399016771,62
eksith,4816,1354953723,1492
elemeno,1266,1291998535,306
eloisant,757,1330102676,268
emotionalcode,67,1406903331,51
emsy,177,1396850468,106
enobrev,683,1237517290,180
enos_feedler,191,1309830016,62
enupten,156,1353872030,124
ericb,4815,1189882792,1388
ericd,5698,1257663682,1990
eropple,5362,1302571295,2358
eru,12826,1187280076,9500
etherael,2140,1237707790,842
eva1984,18,1406763486,12
exabrial,172,1306808611,133
exratione,855,1299428907,177
farmdve,0,1406614074,11
felixgallo,130,1367627981,91
fennecfoxen,3409,1286338841,1125
fidotron,3094,1315438705,709
fit2rule,1075,1381501721,801
fithisux,12,1400752057,41
flexie,2273,1342443706,333
foobarian,418,1334188249,191
forrestthewoods,3154,1308945419,572
frandroid,349,1354151801,244
franze,9177,1286630092,1129
freedom123,-58,1405120075,26
freehunter,7262,1320848029,3467
frewsxcv,290,1305302772,130
frik,1396,1372507416,700
frostmatthew,2327,1331771573,323
fsloth,144,1370349031,78
gadders,2773,1297351998,1513
gambiting,2066,1345850439,817
gcb0,1891,1357587286,1467
gedrap,1828,1340369152,300
general_failure,1373,1252559668,791
genericuser,191,1384357276,103
geographomics,107,1408300289,34
georgeecollins,150,1341428925,107
georgemcbay,12814,1284524051,2734
ggreer,3065,1363922715,321
ghshephard,15186,1206352714,3512
gioele,3552,1323640727,511
girvo,4017,1338430828,1771
gk1,1766,1301594869,707
gnufied,1280,1172858605,237
goblin89,1192,1300018758,572
gohrt,1555,1366138573,800
gojomo,22294,1172307574,6213
grecy,5882,1309891076,1785
greenster,15,1413756440,1
greglindahl,1005,1255198237,260
gtirloni,650,1304218887,394
guelo,12237,1247879051,2362
gwern,12391,1239226436,3065
habosa,2383,1323887763,696
hahainternet,1214,1305919810,583
hayksaakian,2615,1346803276,1483
higherpurpose,3021,1389389460,1656
hkmurakami,6591,1309470375,2012
hnnewguy,555,1391619655,170
hockeybias,29,1258212073,171
hpaavola,926,1283252320,133
html5web,197,1344828212,132
hucker,228,1290904846,97
huntaub,38,1326987169,31
huntermeyer,176,1372478113,10
huxley,1718,1288960900,610
hyperliner,152,1372215842,189
hyperpape,1182,1342454041,276
iLoch,371,1381415315,235
ianseyer,-7,1403288108,4
icco,1092,1214195631,372
icebraining,13988,1307959061,7310
idlewords,7275,1238791454,1156
igl,15,1377171223,84
ihsw,3147,1290175334,1155
ijk,488,1327115063,204
ilamont,15475,1192113378,2234
imanaccount247,160,1410592442,164
imjk,704,1296254194,201
incision,4530,1339000109,1204
ingve,8517,1334265808,407
inthewoods,285,1285962442,261
iolsantr,8,1413725653,2
izacus,381,1362256833,121
jMyles,342,1319323004,183
j_s,1559,1266272464,920
jacalata,1941,1302568776,907
jader201,2876,1320412009,316
jakozaur,1063,1230998458,192
jamesbrownuhh,238,1351025565,99
jarcane,49,1406541397,23
jasode,457,1393555869,142
jastanton,95,1317160297,66
javajosh,4946,1307749552,1243
jc123,1535,1283235716,217
jcagalawan,40,1378790859,19
jchrisa,2647,1228876969,673
jerf,33189,1223923906,6873
jessaustin,5350,1350409718,2497
jfim,204,1359589526,121
jfoutz,2099,1187213356,864
jhallenworld,137,1383253661,77
jhdevos,116,1241763348,51
jiggy2011,10574,1319967950,5199
jimmaswell,483,1355676770,457
jldugger,64,1243215640,35
joeblau,1547,1326293024,931
joenathan,750,1298407471,310
joezydeco,7474,1242251764,3012
johan_larson,128,1371163275,74
john_b,1378,1309988110,382
johnchristopher,1235,1311344710,750
jonifico,55,1409063894,64
jordanpg,230,1411780620,80
jordanthoms,1222,1331687367,390
josefresco,5188,1187222454,2268
joshdance,944,1344377244,486
joshstrange,1220,1310405226,427
joshu,11541,1208804250,3258
joshvm,325,1372555561,181
josteink,4680,1315224145,1203
jp555,160,1387987570,124
jpatokal,3212,1350261271,629
jqueryin,1353,1250547999,577
jrochkind1,3419,1331730159,1076
julianpye,527,1331123971,167
justifier,5,1401123503,20
justincormack,6966,1297243992,2784
jwise0,1069,1346872582,120
jwr,5512,1203503577,771
kabdib,5078,1249273937,1027
kaivi,112,1378992637,54
kalleboo,4137,1298492182,1756
kanzure,2647,1201920771,469
kator,1171,1330215569,331
kauffj,72,1408989480,9
kaybe,836,1315751094,445
kazinator,677,1404339283,604
kbart,101,1366377102,97
kelvin0,98,1334060588,229
kemayo,3180,1281326340,340
kemist,31,1357927530,25
kenjackson,16568,1253232792,3944
kevin_morrill,2296,1248386488,402
kiyoto,868,1296221954,145
klibertp,1279,1345131252,845
kokey,969,1189505862,445
kolanos,59,1296678257,6
kosmopolska,3,1393236395,5
kqr2,12019,1213332030,1950
kreinba,0,1413381303,4
kristofferR,2486,1268867297,622
krschultz,9440,1196125318,1952
krylon,30,1403257435,35
ksherlock,433,1341714077,158
kulkarnic,416,1204620152,133
kuschku,92,1378666030,78
kyro,9280,1174861268,1593
lalwanivikas,1948,1382293985,120
latch,9129,1268750426,1544
legulere,225,1337165136,128
leni536,58,1394524453,80
leoc,2293,1172012045,994
lettergram,1258,1285538267,613
liotier,2737,1299886444,303
lmg643,1629,1342821501,347
lmm,7015,1318583431,4062
lnanek2,2079,1338159216,1332
logfromblammo,1116,1384358418,704
logn,2644,1319868488,1383
lostcolony,916,1387251818,245
lotsofmangos,2114,1392128537,1069
lovemenot,150,1363130393,109
lprez,15,1411314669,15
lucaspiller,1781,1315855524,642
lucb1e,3205,1326464166,1512
lukasm,360,1384400318,335
m0nty,1588,1203328175,409
m_mueller,746,1364772662,458
madaxe_again,1015,1387020401,348
maguirre,40,1365688925,35
malanj,536,1362417390,108
manicdee,209,1323057843,231
marcosdumay,1709,1347990477,1342
marktangotango,207,1367005938,147
massel,4,1400889821,3
mathattack,6529,1312976281,3797
matthewmcg,238,1339004411,84
mattmanser,6734,1236897942,1881
maxerickson,4518,1280361444,2863
mbesto,3778,1290161843,1546
mcguire,1380,1261524421,981
mcv,1700,1313050285,929
mentat,731,1285862250,387
mercurial,4262,1313758395,1475
mesozoic,156,1350338528,132
metaphorm,448,1360628320,248
mgkimsal,8029,1198436708,3061
michael_fine,2205,1326729115,285
michaelgrafl,344,1351811784,77
michaelmior,939,1308236914,858
michaelt,3266,1340187711,1057
michaelvkpdx,74,1404768182,15
mikeash,21891,1307130902,6597
mikeleeorg,5420,1226445540,868
mikeyouse,2372,1340661060,462
minimaxir,7981,1332620100,1720
