ID,KARMA,CREATED,SUBMISSIONS
0x0,5693,1288173577,1434
0xdeadbeefbabe,594,1368460202,480
23david,700,1296243811,273
2510c39011c5,1389,1358217145,131
2muchcoffeeman,492,1293187025,402
300bps,4659,1367865785,974
31reasons,1270,1346526443,590
3pt14159,6436,1224607489,1645
4ad,2724,1312476682,883
51Cards,3575,1271459779,601
54mf,488,1315831820,228
616c,1355,1355060664,551
67726e,1888,1345088543,376
72deluxe,775,1343998480,1026
7952,757,1304796090,716
A1kmm,1054,1282780898,352
AJ007,3715,1294341645,877
AYBABTME,1467,1336649080,519
AceJohnny2,1945,1316559292,457
Afton,612,1187891889,127
Aissen,2727,1294178865,326
Alain-lf,20,1413175232,3
Aldo_MX,849,1363402871,408
Alex3917,16967,1172270676,5393
Aloha,1556,1314502803,603
Alphasite_,217,1354313715,191
Already__Taken,521,1352681940,311
AlyssaRowan,1274,1401661586,493
AndrewDucker,17951,1228825147,2197
AngrySkillzz,312,1329074541,110
Animats,6417,1410156919,1477
Argorak,5372,1284649073,1381
ArkyBeagle,328,1365635655,379
Arnt,161,1310017182,120
ArtDev,331,1374098873,236
Artemis2,770,1378305703,276
BSousa,824,1238338475,388
BWStearns,503,1364857283,283
Bahamut,1395,1375545968,827
Balgair,996,1366928486,337
Bedon292,42,1413474978,23
BinaryIdiot,737,1396543267,282
Blackthorn,394,1400303399,158
Blahah,3374,1355328083,610
Bluestrike2,511,1352131534,119
BorisMelnik,475,1383980613,500
BruceM,2778,1323610407,225
BuckRogers,146,1373343538,119
CJefferson,3698,1276873354,881
CPLX,702,1396650112,159
Cakez0r,270,1337548320,154
CamperBob2,5153,1336344732,2423
Canada,307,1306686335,181
CapitalistCartr,6965,1254623962,1024
CaveTech,820,1311731323,265
ChikkaChiChi,1969,1309204622,856
Chinjut,647,1403545365,203
ChrisNorstrom,4282,1298300901,1029
ChuckMcM,42448,1286399595,8906
ColinWright,75868,1260808770,9896
Confusion,7132,1237877343,2266
Crito,7461,1371720286,2373
Cshelton,55,1412278994,37
Cthulhu_,1862,1347806842,1073
CyberDildonics,221,1413726448,176
CyberShadow,242,1245584036,79
Cymen,148,1278375781,58
DaFranker,160,1346165870,67
DanBC,27094,1316712157,11623
DanTheManPR,110,1355670658,22
DanielBMarkham,36342,1188438568,6422
DasIch,1381,1303054443,416
Datsundere,64,1361025255,142
Ded7xSEoPKYNsDd,76,1410701168,59
DennisP,3360,1190414133,1579
DevKoala,235,1370656728,20
DevX101,4884,1285537290,558
Dewie,2337,1364080104,2074
DiabloD3,12899,1284316408,2327
DigitalSea,4427,1332031567,1521
Doctor_Fegg,634,1368437125,202
DonHopkins,397,1397409739,426
DubiousPusher,138,1408472650,52
Dylan16807,5280,1265294771,3895
EGreg,3360,1206622687,2419
EliRivers,2509,1264112211,1075
Encosia,2766,1226887133,690
EpicEng,1364,1372276874,809
Estragon,3786,1244331682,1483
EugeneOZ,297,1332362658,289
EvenThisAcronym,46,1393948462,25
Everhusk,19,1411494271,38
ExpiredLink,1198,1313415452,893
FLUX-YOU,441,1372005193,246
Fastidious,120,1407101373,135
FireBeyond,2197,1308894996,1060
FleshGordon,36,1391588950,13
Florin_Andrei,2639,1289524417,1247
ForHackernews,6066,1382022801,1207
FrankenPC,385,1369061471,171
FreakyT,451,1370046750,119
GFK_of_xmaspast,1336,1387519891,1072
GFischer,2829,1262195053,2070
GabrielF00,2797,1349355627,295
Geee,2504,1275351477,800
GhotiFish,1728,1359837568,1009
Glyptodon,1158,1363112949,421
Gravityloss,1183,1307024756,780
GuiA,11251,1318288810,1549
Guvante,937,1362680609,520
HCIdivision17,989,1327628596,396
Havvy,203,1396331921,106
Houshalter,2606,1345660810,2171
Htsthbjig,782,1398678818,306
Humjob,51,1315989215,28
IanDrake,1416,1303766110,582
Iftheshoefits,1184,1373980723,640
Igglyboo,1526,1392845652,815
IgorPartola,8142,1258663242,2744
IkmoIkmo,919,1407058090,376
InclinedPlane,26099,1253657907,6749
Infinitesimus,132,1393938870,68
IshKebab,201,1408792453,99
IvyMike,3786,1236709928,768
JTon,363,1329620600,196
JacobAldridge,9932,1207181253,2094
JacobJans,171,1354646036,85
JanezStupar,2058,1246346845,777
JasonCEC,133,1387866547,46
JetSpiegel,653,1383615530,701
JimmaDaRustla,624,1346078054,477
JoachimS,800,1371649297,148
JoeAltmaier,6742,1255899679,5915
Joeboy,1802,1259450185,743
JohnBooty,2184,1336670777,507
JonnieCache,15232,1284370891,3540
JoshTriplett,9967,1264446488,2580
JshWright,3583,1237216070,966
Jtsummers,2365,1254839344,995
Jun8,5607,1256225845,1632
JustSomeNobody,391,1398972239,136
Kalium,1028,1298576149,690
Karunamon,8508,1302558072,3325
KayEss,57,1183959131,50
Kenji,585,1389115132,199
KevinEldon,438,1288983162,148
Keyframe,2353,1231686446,1145
Khaine,101,1375096889,62
Khao,723,1268370079,261
Kiro,2820,1328401906,2032
Kluny,572,1277221771,431
LLWM,56,1411139451,330
LanceH,530,1366118347,232
Lazare,2871,1324247422,465
LeoNatan25,82,1385595127,74
Leon,318,1182288487,145
Loughla,518,1342448409,230
Lrigikithumer,169,1375695359,50
Luc,3948,1205265313,1036
LukeB_UK,2286,1377686794,285
LunaSea,163,1357592407,135
MAGZine,525,1373493421,228
MBCook,3238,1324744720,1017
MBlume,1932,1264731094,371
MCRed,1771,1398101344,447
Maakuth,2243,1281293283,237
MagerValp,86,1345126287,29
Mahn,1147,1348930840,497
MarkPNeyer,1356,1254426238,393
MartinCron,8943,1254521304,2676
MatthiasP,203,1383008559,73
Matumio,94,1409473096,49
Meekro,176,1367994898,76
MereInterest,584,1351175323,158
MetaCosm,1577,1312661364,662
MichaelApproved,4378,1233357318,1462
MichaelGG,8976,1266705139,3763
MichaelMoser123,105,1373563273,139
Mikeb85,2505,1366939411,1168
Mithaldu,3565,1253970007,1040
MoOmer,166,1331747760,99
Moru,133,1389102877,100
MrBra,493,1356578768,549
MrBuddyCasino,1217,1321829444,480
MrDosu,97,1382631721,104
MrJagil,850,1271630619,310
Mvandenbergh,874,1309102534,344
NDizzle,564,1321285527,259
NamTaf,1270,1354073319,379
Narishma,424,1365346965,247
Natsu,6587,1274689291,2779
NhanH,797,1360888947,353
NickPollard,2838,1265279073,482
NicoJuicy,1271,1327395668,988
NoMoreNicksLeft,365,1399066270,372
Nullabillity,55,1357526445,86
Nursie,6377,1340604118,2604
Nux,1278,1333360698,661
Osmium,3403,1349615173,968
Paul_S,707,1333530771,308
PeterWhittaker,819,1240833731,537
PeterisP,3530,1314867565,1795
PhantomGremlin,885,1368601809,665
PhasmaFelis,4342,1373349115,1197
PhrosTT,546,1265383069,190
PinguTS,263,1389779568,105
ProAm,614,1378244014,311
PublicEnemy111,165,1374607181,86
Pxtl,5750,1365775470,1933
PythonicAlpha,878,1383324108,535
RankingMember,447,1382721776,269
Raphmedia,828,1372270872,422
Rapzid,491,1392514645,393
Retric,11329,1190391118,6670
Roboprog,940,1275445272,917
RobotCaleb,770,1330442691,268
RockyMcNuts,3259,1274575004,574
RossM,1099,1220034150,528
RubyPinch,122,1360038767,108
RussianCow,377,1369530435,212
RyJones,786,1324317760,346
S4M,2099,1310761128,821
SEJeff,1307,1325788048,732
SG-,457,1340868113,218
S_A_P,1095,1265310951,447
SamReidHughes,1444,1186242958,969
SandB0x,11548,1255800459,956
Sanddancer,2025,1320827045,683
SchizoDuckie,867,1331628055,362
ScottBurson,4491,1283220040,1753
Scuds,129,1393272110,91
SeanDav,3377,1287567302,757
SeanLuke,1941,1250974512,649
Sharlin,1808,1245422911,504
Shivetya,5440,1317901227,1900
SideburnsOfDoom,2838,1321698086,1080
Silhouette,6962,1238887875,2499
Sir_Cmpwn,1775,1357543724,538
SixSigma,1286,1390596060,909
Someone,5356,1202503067,3231
Someone1234,5379,1403619631,1583
SpaceManNabs,31,1406653971,17
Spooky23,4819,1337867868,1757
StavrosK,16433,1272119285,6791
Stefan-H,70,1308241765,18
Steko,7500,1304936231,2235
StevePerkins,546,1376135742,103
Stratoscope,3012,1292184402,654
Svip,1225,1354147300,429
SwellJoe,18854,1171927404,4534
Symmetry,6951,1271512372,2295
Synaesthesia,614,1279786806,350
T-A,2815,1326212573,664
TD-Linux,553,1391143615,232
Tarang,573,1377198432,163
TazeTSchnitzel,8214,1328319449,3934
TeMPOraL,10007,1280220865,4555
Terr_,898,1384987147,544
Terretta,6646,1266343401,2019
Thaxll,52,1358781642,120
TheCoelacanth,767,1360938133,526
TheCraiggers,909,1366371214,305
TheDong,460,1409192273,129
TheHypnotist,89,1407532021,66
TheLoneWolfling,1033,1377093812,989
TheMagicHorsey,1030,1339465521,263
Thevet,6738,1409753582,265
ThomPete,7924,1224675490,3029
Tiksi,196,1371050891,75
TillE,4539,1294139552,1353
Tloewald,4428,1293747256,1799
TomGullen,1942,1314053130,878
Tomte,3880,1345710029,485
TorKlingberg,741,1268580718,305
Torgo,1334,1332951308,476
Tossrock,723,1303940381,209
Totoradio,48,1332342860,19
Touche,3128,1378904282,1536
Turing_Machine,3867,1275083321,1603
Twirrim,269,1280281795,87
TylerE,4020,1307458570,1581
UK-AL,956,1329445632,562
UUMMUU,113,1333631344,53
UVB-76,1366,1351203292,312
UhUhUhUh,71,1413570273,63
UnoriginalGuy,4574,1339178551,1117
UweSchmidt,537,1358861157,245
VLM,6881,1335704205,3948
Walkman,3108,1351530622,340
WalterBright,6081,1256980397,1920
Watabou,448,1338443944,155
WatchDog,174,1348971439,97
WestCoastJustin,10082,1273679131,1981
WildUtah,3064,1268939443,851
WorldWideWayne,221,1395665983,446
X-Istence,4689,1266468729,1919
Xcelerate,4931,1339127290,1004
Xeoncross,328,1300897226,133
XorNot,2313,1358897873,1374
Yadi,42,1348163631,97
Ygg2,2346,1332954122,1138
Yuioup,279,1316092467,215
Zaheer,1278,1324893424,262
Zancarius,711,1243880912,380
ZanyProgrammer,639,1367769617,344
Zardoz84,131,1330440407,178
Zarel,284,1328311419,142
ZeroGravitas,9774,1237813363,4083
Zigurd,4751,1307327198,2714
Zikes,5399,1326408406,1364
ZoFreX,4213,1272168810,1574
__david__,4126,1236806881,1293
_asummers,161,1406986981,104
_delirium,34028,1264740195,8936
_nickwhite,17,1398780503,16
_pmf_,1506,1358784169,736
_yosefk,528,1349527334,179
a1369209993,52,1369210110,29
a3n,2969,1364540552,1520
a8da6b0c91d,875,1374342475,659
a_c_s,431,1340203120,185
aaron695,1224,1346450506,633
abalone,4225,1312155477,829
abcd_f,1055,1297093469,452
abecedarius,1948,1183404771,1041
ableal,3380,1237225279,1418
abraham,16110,1240707128,1842
abruzzi,763,1322261687,328
aburan28,3419,1338145847,480
abusque,50,1331785181,6
acadien,482,1360634331,209
aceperry,391,1363906480,360
acgourley,3119,1172011844,939
acomjean,603,1331916964,386
acqq,8015,1269700304,2599
actionscripted,150,1325603472,94
actsasbuffoon,225,1344192681,145
adaml_623,1376,1287678441,518
adamnemecek,19249,1311408287,2389
adamors,1235,1356801441,407
adrianN,1083,1292076015,435
adrusi,682,1305073809,307
adsche,102,1373783462,67
adventured,11592,1352969597,3091
aet,889,1325954747,403
aetherson,1800,1353432219,565
afandian,922,1354618596,352
afarrell,974,1279205394,459
aftbit,104,1408426635,67
agibsonccc,540,1327775623,323
agumonkey,5290,1318171413,2716
agwa,4311,1312090854,733
ahoge,802,1323641108,386
ahomescu1,958,1342217360,589
aidenn0,4063,1226597928,2070
aidos,2193,1291378226,843
aikah,1229,1401888091,922
ajkjk,259,1360599231,101
ajuc,2309,1238087885,1103
ak217,2014,1300647494,397
akerl_,4740,1388776524,712
al2o3cr,1232,1379889625,470
alain94040,4829,1186803909,1486
albertzeyer,4135,1267554200,814
alexchamberlain,2155,1319116370,1126
alexqgb,4208,1237235202,1202
alexvr,415,1362103844,199
alphadevx,276,1377285213,120
alricb,245,1403658799,91
altcognito,671,1310404351,287
amadeusw,33,1390184498,27
amarraja,87,1349639048,30
amouat,1080,1228845647,262
ams6110,10614,1235934045,4758
analog31,1562,1373818743,790
andreasklinger,1833,1277804941,369
andrepd,75,1371664615,26
andrewchambers,524,1405400979,357
andrewfong,2296,1191950712,503
andrewstuart2,784,1399383498,237
andy_ppp,324,1368698769,228
andybak,4708,1241629402,1236
andyjohnson0,4113,1327426580,1001
angersock,13391,1316617466,4501
angkec,359,1269147637,130
anigbrowl,38576,1240107667,12194
anon1385,8186,1298287543,912
anon4,969,1384683429,684
anonbanker,293,1388266087,569
anonymfus,898,1338804419,420
anovikov,544,1247992724,349
ansible,965,1286289891,526
antihero,2775,1295169758,1512
antocv,1266,1368917341,548
antr,16800,1310641005,2047
antsar,750,1374546770,174
anu_gupta,4282,1344452335,472
ap22213,1297,1304435814,420
apaprocki,3501,1306843928,853
ape4,472,1370459386,451
api,12648,1191540985,2854
applecore,3356,1362879219,917
apricot,40,1401416182,25
aptwebapps,1289,1312386094,691
aqme28,1679,1327077482,317
ar7hur,1270,1378413899,185
arenaninja,294,1354649408,194
aresant,12314,1221105438,1602
arethuza,14441,1237799878,5305
arfliw,280,1391426752,140
arohner,2350,1205958555,553
ars,16349,1215505101,6852
asdfaoeu,487,1289780098,186
astrodust,5032,1199398628,2636
asveikau,1673,1346806015,733
at-fates-hands,2543,1339001337,1236
athenot,151,1386295943,47
atmosx,2493,1360059049,1547
atonse,691,1286029102,199
audunw,87,1382911131,39
aurora72,69,1212594402,124
ausjke,233,1365603502,251
austenallred,7906,1320269586,1016
avinassh,904,1403176152,262
avn2109,625,1355025767,307
aw3c2,8213,1247520911,2579
ayrx,701,1401034638,169
azinman2,481,1338994654,322
azurelogic,130,1359431568,83
b6,713,1303999155,196
baby,1695,1263890147,1137
bad_user,13976,1221496613,4507
baddox,12512,1203232489,6237
baldfat,893,1339209017,548
balls187,722,1364403525,507
bambax,4969,1212569416,1312
bane,30509,1294545378,6603
baq,1083,1258806822,531
barumrho,344,1307894629,96
bayesianhorse,1517,1361312324,1070
bboreham,46,1409410972,32
bdcravens,3243,1339271438,1467
beagle3,5879,1245457058,2483
beat,2979,1366747282,1059
beefsack,795,1336291178,182
beloch,4479,1264484592,587
belorn,5740,1331589271,1937
bemmu,5861,1172056118,1270
benaiah,748,1344333828,320
benatkin,3305,1173917027,1645
benbreen,8693,1401672952,489
bencollier49,500,1358267165,244
bengali3,190,1399647883,185
benihana,3859,1284413379,718
benologist,7301,1213238052,3235
benstein,859,1286285678,50
bentcorner,1146,1354637308,516
berberous,829,1320340089,255
bfirsh,542,1259488925,58
bglazer,363,1380231152,141
bhauer,4570,1326328889,935
bhaumik,2841,1379909472,332
bhouston,2198,1366032724,627
bigdubs,696,1294161857,216
bigethan,346,1283373646,66
binarymax,3832,1267778922,858
biot,5885,1289278281,1881
bitJericho,670,1349259692,441
bitL,449,1353002434,243
bitdestroyer,40,1333997277,21
bitwize,4145,1185568803,1839
bjelkeman-again,1405,1214425348,593
bjourne,1842,1342732534,695
bjwbell,189,1219685419,66
bkcooper,142,1403405851,57
bkeroack,601,1398962514,268
bkjelden,145,1342282469,39
blazespin,809,1368741851,305
blinkingled,3053,1291939443,916
blisterpeanuts,833,1338901625,435
blrgeek,714,1250829839,174
blueskin_,1306,1387529849,1176
bluthru,1315,1337567358,494
