ID,KARMA,CREATED,SUBMISSIONS
0x0,5624,1288173577,1416
0x006A,666,1322658652,169
0xdeadbeefbabe,583,1368460202,455
1123581321,817,1328416616,523
13,369,1412355397,163
27182818284,1580,1215374975,1137
31reasons,1263,1346526443,582
3pt14159,6387,1224607489,1639
4lejandrito,11,1413391784,4
51Cards,3558,1271459779,594
616c,1355,1355060664,549
72deluxe,765,1343998480,999
Aardwolf,1426,1347787789,763
Aaronneyer,219,1323499713,77
AceJohnny2,1897,1316559292,445
Achshar,1046,1312717975,643
Afforess,2011,1358977044,359
Aissen,2711,1294178865,323
Aldo_MX,831,1363402871,402
Alex3917,16945,1172270676,5378
AlexMuir,5297,1278416223,722
Aloha,1555,1314502803,599
Alupis,1714,1400030400,1232
AlyssaRowan,1245,1401661586,490
AndrewDucker,17919,1228825147,2194
AngrySkillzz,298,1329074541,106
Animats,5958,1410156919,1421
Apocryphon,1900,1292377779,1134
ArkyBeagle,321,1365635655,369
ArtDev,326,1374098873,228
Artemis2,764,1378305703,272
Audiophilip,953,1359219791,89
BCM43,1637,1253831462,316
BIackSwan,2078,1305302441,202
BSousa,819,1238338475,386
Bahamut,1383,1375545968,819
BillinghamJ,102,1328686026,63
BinaryIdiot,597,1396543267,250
Blackthorn,391,1400303399,156
BukhariH,287,1386524736,17
CJefferson,3650,1276873354,877
CMCDragonkai,268,1349165340,90
CPLX,616,1396650112,141
CalRobert,761,1380889315,371
CapitalistCartr,6812,1254623962,1016
Carrok,94,1310230053,30
CaveTech,820,1311731323,264
ChikkaChiChi,1964,1309204622,855
Chinjut,584,1403545365,201
ChuckMcM,42342,1286399595,8880
ConfuciusSay,150,1411760536,30
Confusion,7124,1237877343,2262
Crito,7370,1371720286,2341
Cthulhu_,1860,1347806842,1072
CurtMonash,803,1330164126,377
CyberDildonics,170,1413726448,171
CyberShadow,231,1245584036,78
Cyther606,227,1403674143,102
DINKDINK,134,1401391683,88
DaFranker,153,1346165870,63
DanAndersen,380,1385140757,119
DanBC,27004,1316712157,11587
DanTheManPR,97,1355670658,20
DanielBMarkham,36335,1188438568,6419
Datsundere,65,1361025255,140
DenisM,5696,1208724375,2526
Derbasti,2366,1242833113,911
DiabloD3,12472,1284316408,2268
DigitalSea,4379,1332031567,1511
DonHopkins,374,1397409739,413
DoubleMalt,1550,1347470038,247
Dylan16807,5207,1265294771,3844
EGreg,3350,1206622687,2411
EliRivers,2500,1264112211,1065
EpicEng,1351,1372276874,800
Estragon,3782,1244331682,1478
EthanHeilman,2042,1333911248,388
EugeneOZ,285,1332362658,280
EvanAnderson,902,1329839642,256
Everhusk,15,1411494271,29
ExpiredLink,1173,1313415452,875
FLUX-YOU,441,1372005193,241
FireBeyond,2157,1308894996,1047
FlailFast,271,1328032030,66
Florin_Andrei,2632,1289524417,1242
ForHackernews,5976,1382022801,1195
FraaJad,2433,1224708578,435
