ID,KARMA,CREATED,SUBMISSIONS
0x0,5603,1288173577,1408
0x006A,655,1322658652,168
0xdeadbeefbabe,573,1368460202,443
13,337,1412355397,149
2510c39011c5,1307,1358217145,111
300bps,4654,1367865785,971
31reasons,1260,1346526443,580
37prime,414,1265424905,147
3pt14159,6387,1224607489,1639
4ad,2723,1312476682,881
616c,1350,1355060664,547
67726e,1750,1345088543,353
72deluxe,741,1343998480,968
8_hours_ago,289,1380157068,80
AYBABTME,1418,1336649080,513
AceJohnny2,1867,1316559292,438
Achshar,1045,1312717975,642
Adaptive,1094,1248409906,284
Aldo_MX,831,1363402871,401
Alex3917,16945,1172270676,5374
AlexMuir,5070,1278416223,713
Alupis,1692,1400030400,1217
AlyssaRowan,1232,1401661586,487
Amezarak,640,1387591199,252
AndrewDucker,17910,1228825147,2190
AndyKelley,2430,1208312593,650
AngrySkillzz,279,1329074541,99
Animats,5662,1410156919,1406
ArkyBeagle,320,1365635655,367
Arnt,153,1310017182,115
AshleysBrain,2051,1296081924,451
Audiophilip,800,1359219791,86
AznHisoka,2343,1207186666,2047
Bahamut,1371,1375545968,816
Beltiras,299,1338392349,167
BillinghamJ,99,1328686026,60
BinaryIdiot,560,1396543267,240
Blackthorn,388,1400303399,153
Blahah,3373,1355328083,610
BorisMelnik,469,1383980613,486
BrianEatWorld,258,1339622078,158
BruceM,2765,1323610407,222
BuckRogers,128,1373343538,113
CJefferson,3648,1276873354,876
CPLX,603,1396650112,135
Cakez0r,214,1337548320,146
CalRobert,722,1380889315,370
CamperBob2,5136,1336344732,2403
CapitalistCartr,6642,1254623962,1004
Casseres,321,1331683969,265
ChikkaChiChi,1960,1309204622,851
ChuckMcM,42268,1286399595,8869
ColinWright,75349,1260808770,9818
Crito,7329,1371720286,2324
CurtMonash,803,1330164126,376
CyberDildonics,169,1413726448,169
CyberShadow,234,1245584036,76
DaFranker,125,1346165870,60
Daishiman,2038,1249310732,582
DanAndersen,362,1385140757,115
DanBC,26949,1316712157,11561
DanielBMarkham,36330,1188438568,6416
DenisM,5687,1208724375,2523
DennisP,3274,1190414133,1562
Derbasti,2360,1242833113,910
Detrus,772,1270921099,522
Dewie,2336,1364080104,2073
