ID,KARMA,CREATED,SUBMISSIONS
0x0,5749,1288173577,1450
0xdeadbeefbabe,630,1368460202,549
23david,722,1296243811,286
2muchcoffeeman,498,1293187025,405
300bps,4684,1367865785,983
31reasons,1295,1346526443,621
3pt14159,6461,1224607489,1653
4ad,2826,1312476682,897
4k,332,1403703869,32
51Cards,3618,1271459779,612
616c,1435,1355060664,602
67726e,1937,1345088543,384
72deluxe,817,1343998480,1057
7Figures2Commas,2407,1365188378,848
8ig8,2273,1276971819,584
ARCarr,16,1407947448,14
AceJohnny2,2101,1316559292,486
Achshar,1053,1312717975,648
AdmiralAsshat,381,1381167698,145
AdrianRossouw,882,1323209286,504
Afforess,2036,1358977044,364
Alex3917,16987,1172270676,5413
Aloha,1600,1314502803,632
Alphasite_,228,1354313715,199
Already__Taken,540,1352681940,332
Alupis,1825,1400030400,1279
AlyssaRowan,1298,1401661586,499
Amezarak,791,1387591199,276
AndrewDucker,17998,1228825147,2213
AndyKelley,2439,1208312593,653
Animats,7147,1410156919,1664
ArkyBeagle,394,1365635655,418
AshFurrow,1118,1268168137,211
AshleysBrain,2200,1296081924,456
Avshalom,2037,1232388989,766
Bahamut,1441,1375545968,861
Balgair,1048,1366928486,359
BinaryIdiot,994,1396543267,394
Blackthorn,454,1400303399,187
BoppreH,1824,1268791243,584
BorisMelnik,516,1383980613,549
Brian-Puccio,196,1368288158,55
BuildTheRobots,366,1373367941,176
CJefferson,3713,1276873354,890
CMCDragonkai,276,1349165340,97
CPLX,938,1396650112,193
CamperBob2,5196,1336344732,2457
Canada,452,1306686335,192
CapitalistCartr,7837,1254623962,1057
Chevalier,291,1399694373,91
Chinjut,743,1403545365,223
ChrisGaudreau,251,1395367709,89
ChuckMcM,43192,1286399595,9068
ColinWright,77078,1260808770,10133
Confusion,7212,1237877343,2291
Crito,7673,1371720286,2446
Cshelton,108,1412278994,46
Cthulhu_,1927,1347806842,1093
CurtMonash,809,1330164126,384
CyberDildonics,277,1413726448,220
CyberShadow,309,1245584036,89
DINKDINK,135,1401391683,91
DaFranker,178,1346165870,77
DanAndersen,535,1385140757,154
DanBC,27709,1316712157,11986
DanielBMarkham,36451,1188438568,6437
DennisP,3402,1190414133,1599
Detrus,773,1270921099,525
DiabloD3,14536,1284316408,2613
DigitalSea,4633,1332031567,1574
DominikR,1104,1333386019,389
