SCORE,TITLE,BY,URL
262,Baseless Calls to Expand Surveillance Fit Familiar Cynical Pattern,pavornyoh,https://www.eff.org/deeplinks/2015/11/baseless-calls-expand-surveillance-fit-familiar-cynical-pattern
43,The Macro,BIackSwan,http://macro.ycombinator.com
241,You Can Now Use Bitcoin Anywhere VISA Is Accepted,ntomaino,https://blog.coinbase.com/2015/11/20/introducing-the-shift-card/
80,You should try FreeBSD,eatonphil,http://blog.pascalj.com/article/you-should-try-freebsd/
59,What every programmer should know about memory,jimsojim,http://lwn.net/Articles/250967/
98,Domain validated SSL will soon be free from the large CAs,nailer,https://certsimple.com/blog/domain-validated-ssl-will-be-free
193,Python's Hidden Regular Expression Gems,temp,http://lucumr.pocoo.org/2015/11/18/pythons-hidden-re-gems/
15,Empire of Code is the first game for coders where you can win without any coding,oduvan,https://empireofcode.com/game/
23,How should we talk to AIs?,champillini,http://blog.stephenwolfram.com/2015/11/how-should-we-talk-to-ais/
49,Instant Loading Web Apps with an Application Shell Architecture,aleem,https://medium.com/@addyosmani/instant-loading-web-apps-with-an-application-shell-architecture-7c0c2f10c73#.anv85ievd
105,Alan Donovan and Brian Kernighan Answer Questions on Go,signa11,http://features.slashdot.org/story/15/11/18/1748247/interviews-alan-donovan-and-brian-kernighan-answer-your-questions
25,13 miles of typography  on Broadway from a to Z,Thevet,http://www.hopesandfears.com/hopes/culture/design/216855-typography-of-broadway-from-a-to-z
120,Genetic Algorithm 2D Car Thingy,sconxu,http://rednuht.org/genetic_cars_2/
138,Strong Legs Associated with Healthy Brains in Twin Study,mhb,http://well.blogs.nytimes.com/2015/11/18/brawn-and-brains/
6,Acorn Electron World,paublyrne,http://www.acornelectron.co.uk/
28,Intestinal worms may help women get pregnant more often,DrScump,http://news.sciencemag.org/biology/2015/11/intestinal-worms-may-help-women-get-pregnant-more-often
15,Simulating the TS808 Tube Screamer in LTSpice,cushychicken,http://cushychicken.github.io/ltspice-tube-screamer/
172,We know the city where HIV first emerged,Perados,http://www.bbc.com/earth/story/20151119-we-know-the-city-where-hiv-first-infected-a-human
1,Segment is hiring engineers to run our container fleet,calvinfo,https://segment.com/jobs/descriptions/backend-engineer/
