ID,KARMA,CREATED,SUBMISSIONS
0x0,5991,1288173577,1514
0xdeadbeefbabe,667,1368460202,635
2muchcoffeeman,546,1293187025,421
300bps,4814,1367865785,1008
3pt14159,6531,1224607489,1688
4ad,2968,1312476682,942
51Cards,3813,1271459779,626
67726e,1954,1345088543,393
72deluxe,910,1343998480,1171
7Figures2Commas,2486,1365188378,903
AYBABTME,1531,1336649080,547
Aardwolf,1463,1347787789,787
AceJohnny2,2183,1316559292,513
AdmiralAsshat,462,1381167698,159
AdrianRossouw,897,1323209286,516
Afton,615,1187891889,132
Aissen,2829,1294178865,356
Akkuma,104,1399658231,48
Al-Khwarizmi,332,1353776830,125
Aldo_MX,872,1363402871,425
AlecSchueler,110,1249998104,54
Alex3917,17330,1172270676,5429
AlexMuir,5303,1278416223,727
Aloha,2048,1314502803,672
Alphasite_,281,1354313715,220
Already__Taken,566,1352681940,350
Alupis,2009,1400030400,1363
Amezarak,884,1387591199,293
AndrewDucker,18628,1228825147,2249
AngrySkillzz,366,1329074541,125
Animats,8419,1410156919,1943
Arjuna,3863,1305748557,341
ArkyBeagle,447,1365635655,460
Arnt,197,1310017182,149
Artemis2,1044,1378305703,350
AsakiIssa,51,1380166815,9
Avshalom,2114,1232388989,796
Bahamut,1561,1375545968,918
Balgair,1103,1366928486,384
Bedon292,82,1413474978,46
Beltiras,313,1338392349,176
Bill_Dimm,573,1339442640,181
BillinghamJ,192,1328686026,85
BinaryIdiot,1262,1396543267,508
Blackthorn,587,1400303399,223
Bluestrike2,531,1352131534,124
BorisMelnik,538,1383980613,581
BostonEnginerd,60,1380896704,34
Bud,4443,1275006986,831
BuildTheRobots,379,1373367941,184
CMCDragonkai,276,1349165340,102
CPLX,1509,1396650112,273
CalRobert,791,1380889315,382
CamperBob2,5243,1336344732,2514
CapitalistCartr,8445,1254623962,1106
CaveTech,834,1311731323,271
Chinjut,792,1403545365,241
ChrisNorstrom,4295,1298300901,1034
ChuckMcM,44439,1286399595,9286
Coding_Cat,116,1413033817,45
ConfuciusSay,184,1411760536,40
Conlectus,75,1380131273,20
Crito,7766,1371720286,2489
Cthulhu_,2087,1347806842,1171
CyberDildonics,413,1413726448,305
CyberShadow,400,1245584036,100
Cymen,161,1278375781,72
Daishiman,2229,1249310732,637
DanBC,28743,1316712157,12506
DanielBMarkham,36591,1188438568,6492
DasIch,1469,1303054443,452
DenisM,5916,1208724375,2571
DennisP,3588,1190414133,1656
DiabloD3,15856,1284316408,2713
DonHopkins,518,1397409739,513
DoubleMalt,1609,1347470038,255
DrStalker,1214,1259267126,387
DubiousPusher,164,1408472650,62
Dylan16807,5624,1265294771,4159
EGreg,3440,1206622687,2507
EliRivers,2691,1264112211,1207
EmlynC,16,1354457863,12
Encosia,2809,1226887133,718
ErikRogneby,339,1309890037,291
EvanAnderson,926,1329839642,267
ExpiredLink,1383,1313415452,1058
FLUX-YOU,487,1372005193,271
FireBeyond,2237,1308894996,1099
FlailFast,316,1328032030,77
Flenser,611,1236638356,479
Florin_Andrei,2697,1289524417,1287
ForHackernews,6459,1382022801,1332
FranOntanaya,96,1364998678,100
FrankenPC,507,1369061471,217
Fuxy,1110,1351274217,667
GFK_of_xmaspast,1575,1387519891,1226
Geee,2562,1275351477,825
Glyptodon,1188,1363112949,440
Gonzih,314,1316250376,151
GotAnyMegadeth,1590,1349703393,613
Gracana,1069,1388332258,478
Gravityloss,1275,1307024756,808
Groxx,9764,1260998034,4548
GuiA,11741,1318288810,1605
Guvante,971,1362680609,550
HCIdivision17,1033,1327628596,417
Havoc,892,1286104577,690
Heliosmaster,764,1325444794,160
Hello71,378,1348526267,211
Hermel,552,1276275907,179
HeyLaughingBoy,3115,1206375574,1941
Houshalter,2765,1345660810,2281
IBM,2716,1382402003,435
ISL,4120,1348260249,1094
IanDrake,1492,1303766110,602
IkmoIkmo,1299,1407058090,499
InclinedPlane,26428,1253657907,6849
Inversechi,117,1296756479,78
IshKebab,365,1408792453,153
IvyMike,3958,1236709928,804
JTon,414,1329620600,219
J_Darnley,213,1315985616,301
JadeNB,1023,1263096729,841
Jare,2470,1325195879,692
Jedd,303,1347382323,130
Jemaclus,1340,1337900251,424
JetSpiegel,674,1383615530,711
JimmaDaRustla,658,1346078054,497
JoachimSchipper,5730,1254347939,2442
