ID,KARMA,CREATED,SUBMISSIONS
0x0,6768,1288173577,1735
27182818284,1892,1215374975,1318
31reasons,1305,1346526443,636
4ad,3067,1312476682,1032
7952,1018,1304796090,840
8ig8,2352,1276971819,617
AYBABTME,1768,1336649080,587
Aardwolf,1522,1347787789,835
Afforess,2277,1358977044,399
Afton,716,1187891889,159
Aldo_MX,1045,1363402871,516
Alex3917,17892,1172270676,5602
Aloha,2231,1314502803,752
Already__Taken,694,1352681940,406
Alupis,2300,1400030400,1558
Amezarak,1122,1387591199,382
AndyKelley,2756,1208312593,731
Animats,13957,1410156919,2990
Ankaios,203,1346818320,97
AnthonyMouse,5166,1333120512,2184
Apocryphon,2163,1292377779,1281
Arjuna,4016,1305748557,353
ArkyBeagle,649,1365635655,682
Arnt,409,1310017182,246
AshleysBrain,2293,1296081924,473
Avshalom,2386,1232388989,876
AznHisoka,2430,1207186666,2071
BIackSwan,2589,1305302441,226
Bahamut,1710,1375545968,1010
Balgair,1299,1366928486,482
Bedon292,163,1413474978,77
Beltiras,501,1338392349,263
BenoitP,39,1375963336,41
Bluestrike2,641,1352131534,162
BostonEnginerd,110,1380896704,53
BruceM,3479,1323610407,242
Bud,5075,1275006986,966
CPLX,2307,1396650112,396
Cakez0r,387,1337548320,202
CamperBob2,5588,1336344732,2847
Canada,664,1306686335,285
CapitalistCartr,8771,1254623962,1205
ChuckMcM,48036,1286399595,10065
CognitiveLens,612,1270847808,203
ColinWright,81343,1260808770,10972
CrLf,1194,1241098042,327
Crito,7897,1371720286,2587
Cshelton,462,1412278994,155
CyberDildonics,728,1413726448,572
Cymen,174,1278375781,90
DCoder,451,1257147793,201
DanBC,33045,1316712157,14523
DanielBMarkham,36990,1188438568,6697
DasIch,1782,1303054443,589
DennisP,4006,1190414133,1857
DiabloD3,18674,1284316408,3149
DigitalSea,4822,1332031567,1640
Doctor_Fegg,909,1368437125,246
DominikR,1379,1333386019,467
DonHopkins,674,1397409739,708
DubiousPusher,193,1408472650,75
Dylan16807,6297,1265294771,4677
Eiriksmal,124,1406319552,106
Eleopteryx,140,1310094886,58
Elhana,60,1286796449,74
Elizer0x0309,19,1356972558,65
Encosia,2915,1226887133,755
Eric_WVGG,561,1382532791,216
ErikRogneby,460,1309890037,343
Estragon,3858,1244331682,1531
EugeneOZ,742,1332362658,502
EvanAnderson,1039,1329839642,314
FLUX-YOU,543,1372005193,311
Fastidious,232,1407101373,191
FireBeyond,2680,1308894996,1317
Florin_Andrei,2945,1289524417,1412
ForHackernews,6967,1382022801,1539
FrankenPC,569,1369061471,271
GFK_of_xmaspast,1878,1387519891,1711
GFischer,3089,1262195053,2275
Garbage,29762,1262237108,3762
GarvielLoken,15,1379572671,32
Geee,2569,1275351477,853
GhotiFish,1841,1359837568,1109
GlennS,245,1304589914,145
Glyptodon,1232,1363112949,461
Goopplesoft,618,1349536047,295
Gracana,1189,1388332258,530
Gravityloss,1588,1307024756,957
HCIdivision17,1273,1327628596,466
Havoc,1121,1286104577,797
HelloMcFly,735,1340734616,296
HeyLaughingBoy,3353,1206375574,2099
HillRat,1329,1371079822,240
HorizonXP,921,1334912291,367
ISL,4726,1348260249,1199
IanDrake,1721,1303766110,656
IceyEC,257,1344360287,136
Igglyboo,1717,1392845652,883
IkmoIkmo,2260,1407058090,822
InclinedPlane,27241,1253657907,7256
Ixiaus,2566,1245812536,888
J_Darnley,322,1315985616,485
JabavuAdams,4555,1214573606,1617
JadeNB,1305,1263096729,1068
JasonCEC,190,1387866547,61
JeremyNT,334,1363922656,120
JoeAltmaier,9290,1255899679,7833
JohnBooty,2472,1336670777,608
JonnieCache,15916,1284370891,3736
JoshTriplett,14006,1264446488,3718
JshWright,4201,1237216070,1138
Jtsummers,3174,1254839344,1305
JulianMorrison,5236,1189176257,1802
JumpCrisscross,15042,1306841888,3190
Jupe,206,1249618994,57
JustSomeNobody,1639,1398972239,709
Kalium,1819,1298576149,1143
Karunamon,10648,1302558072,3957
KevinEldon,464,1288983162,158
Keyframe,2594,1231686446,1265
KhalilK,2020,1393353677,396
Kiro,3391,1328401906,2321
KnightHawk3,67,1366526563,56
LanceH,646,1366118347,271
LarryMade2,144,1361213787,345
