ID,KARMA,CREATED,SUBMISSIONS
13,193,1412355397,94
3pt14159,6212,1224607489,1579
4ad,2608,1312476682,828
7952,704,1304796090,652
7Figures2Commas,2276,1365188378,767
Aardwolf,1258,1347787789,706
Aissen,2651,1294178865,273
Aldo_MX,656,1363402871,325
Alex3917,16564,1172270676,5175
Alupis,1145,1400030400,962
AlyssaRowan,764,1401661586,338
AndrewDucker,17528,1228825147,2133
Animats,3144,1410156919,796
Argorak,5130,1284649073,1302
Arnt,97,1310017182,77
Bahamut,1127,1375545968,677
Beltiras,238,1338392349,130
BinaryIdiot,116,1396543267,93
CamperBob2,4996,1336344732,2227
CanSpice,560,1306357634,175
CapitalistCartr,3947,1254623962,778
CaveTech,758,1311731323,247
Chirael,243,1263854511,69
ChrisNorstrom,4274,1298300901,1019
ChuckMcM,39945,1286399595,8373
ColinWright,73878,1260808770,9596
Cthulhu_,1673,1347806842,938
Daishiman,1949,1249310732,558
DanBC,25310,1316712157,10634
DanielBMarkham,35968,1188438568,6298
DennisP,2961,1190414133,1441
DigitalSea,4127,1332031567,1430
EGreg,3270,1206622687,2320
EpicEng,1101,1372276874,650
Eric_WVGG,150,1382532791,57
Estragon,3719,1244331682,1413
ExpiredLink,1134,1313415452,765
Fastidious,93,1407101373,100
Florin_Andrei,2377,1289524417,1126
Fuxy,909,1351274217,602
Glyptodon,1050,1363112949,392
Gonzih,267,1316250376,129
GotAnyMegadeth,1364,1349703393,555
Gracana,816,1388332258,370
HCIdivision17,816,1327628596,333
HeyLaughingBoy,2956,1206375574,1798
IBM,1897,1382402003,349
Igglyboo,1220,1392845652,651
InclinedPlane,25804,1253657907,6611
Ixiaus,2448,1245812536,846
JabavuAdams,4251,1214573606,1472
JacobAldridge,9417,1207181253,2000
Jemaclus,931,1337900251,362
JeremyMorgan,1503,1316837518,421
JetSpiegel,572,1383615530,626
JohnBooty,1355,1336670777,371
JonnieCache,14756,1284370891,3401
JulianMorrison,4253,1189176257,1509
Kalium,302,1298576149,247
Karunamon,7792,1302558072,3028
Keats,116,1343042567,77
Kenji,237,1389115132,114
Kiro,2539,1328401906,1833
LordKano,125,1361827931,57
LunaSea,65,1357592407,94
MadManE,104,1317222966,79
MatthewWilkes,157,1351249284,54
MereInterest,535,1351175323,139
MichaelGG,7163,1266705139,3027
MichaelMoser123,101,1373563273,130
MrBuddyCasino,1005,1321829444,411
Mvandenbergh,846,1309102534,327
Narishma,322,1365346965,194
Natsu,6495,1274689291,2709
NhanH,403,1360888947,225
Ntrails,649,1345135668,329
ObviousScience,473,1406368550,196
Osmium,3212,1349615173,896
Panino,58,1407871735,22
Perdition,235,1392728719,129
PhantomGremlin,693,1368601809,473
Pxtl,5563,1365775470,1866
PythonicAlpha,805,1383324108,470
Raphael,2633,1202528454,1453
Raphmedia,601,1372270872,305
Rapzid,281,1392514645,276
Retric,10810,1190391118,6279
RubyPinch,58,1360038767,78
RyJones,710,1324317760,311
SEJeff,1031,1325788048,623
SG-,367,1340868113,184
Sami_Lehtinen,3745,1320698067,874
Sanddancer,1670,1320827045,515
Scaevolus,1322,1252248648,388
SeoxyS,3546,1239263313,612
Shad0w59,3,1354672715,25
Sharlin,1699,1245422911,468
