ID,KARMA,CREATED,SUBMISSIONS
0x0,5323,1288173577,1318
31reasons,1254,1346526443,557
4ad,2635,1312476682,841
91pavan,1,1413088004,3
ANTSANTS,2299,1346073937,599
AYBABTME,1344,1336649080,471
AbeEstrada,20,1289584856,8
AceJohnny2,1241,1316559292,314
AdmiralAsshat,234,1381167698,102
Aissen,2651,1294178865,280
Alupis,1169,1400030400,987
AlyssaRowan,795,1401661586,351
Animats,3421,1410156919,852
Argorak,5128,1284649073,1307
Bahamut,1147,1375545968,690
BorisMelnik,376,1383980613,407
CalRobert,538,1380889315,293
CamperBob2,5012,1336344732,2238
CanSpice,567,1306357634,178
CapitalistCartr,4033,1254623962,802
ChuckMcM,40158,1286399595,8417
CmonDev,1263,1374664896,1457
Crito,6832,1371720286,2102
Cthulhu_,1679,1347806842,946
Cyther606,220,1403674143,93
DINKDINK,119,1401391683,75
DanAndersen,294,1385140757,85
DanBC,25410,1316712157,10716
DennisP,2988,1190414133,1451
Doctor_Fegg,518,1368437125,167
EGreg,3279,1206622687,2329
EliRivers,2448,1264112211,959
EpicEng,1101,1372276874,656
EthanHeilman,1978,1333911248,374
Evolved,174,1379866388,114
ExpiredLink,1135,1313415452,778
FireBeyond,1970,1308894996,936
Florin_Andrei,2399,1289524417,1144
FrankenPC,231,1369061471,134
Fuxy,915,1351274217,610
Geee,2445,1275351477,775
GhotiFish,1620,1359837568,941
GotAnyMegadeth,1379,1349703393,568
Gracana,842,1388332258,382
Groxx,9752,1260998034,4543
Gyonka,16,1402765819,13
HCIdivision17,872,1327628596,352
Hello71,265,1348526267,170
Hermel,466,1276275907,154
HeyLaughingBoy,2958,1206375574,1802
Htsthbjig,537,1398678818,205
Iftheshoefits,1086,1373980723,542
Igglyboo,1235,1392845652,673
IgorPartola,7389,1258663242,2426
JabavuAdams,4257,1214573606,1485
JacobJans,147,1354646036,79
JanezStupar,2008,1246346845,757
JeremyMorgan,1547,1316837518,436
JetSpiegel,591,1383615530,644
JonnieCache,14770,1284370891,3412
JosephRedfern,307,1320248440,179
Jtsummers,2270,1254839344,933
JulianMorrison,4296,1189176257,1516
JustSomeNobody,29,1398972239,37
Kalium,327,1298576149,265
Karunamon,7823,1302558072,3049
Keyframe,2313,1231686446,1125
Kiro,2604,1328401906,1877
LeoPanthera,444,1398962838,165
MBCook,3039,1324744720,953
MBlume,1800,1264731094,333
MCRed,760,1398101344,281
Mahn,734,1348930840,384
Maken,40,1406945627,37
Marazan,260,1352814870,107
MarkPNeyer,1304,1254426238,365
Matumio,75,1409473096,36
Maxious,2320,1242253713,440
MaysonL,11559,1200946696,3153
McKayDavis,17,1403560318,10
MereInterest,543,1351175323,143
MichaelApproved,4316,1233357318,1428
MichaelGG,7256,1266705139,3066
Morgawr,3156,1381344351,248
Mvandenbergh,851,1309102534,331
NamTaf,1153,1354073319,337
Narishma,330,1365346965,197
Natsu,6510,1274689291,2720
NoPiece,1377,1302164740,479
Ntrails,652,1345135668,333
ObviousScience,489,1406368550,205
Perseids,417,1378976521,228
PhantomGremlin,711,1368601809,487
PinguTS,208,1389779568,80
RIMR,55,1407363591,19
Raphmedia,628,1372270872,320
Rapzid,288,1392514645,282
Retric,10821,1190391118,6303
RogerL,1573,1370804549,475
S4M,1761,1310761128,686
SEJeff,1036,1325788048,628
STRML,832,1346604197,239
Sanddancer,1686,1320827045,521
SchizoDuckie,857,1331628055,335
ScottBurson,4184,1283220040,1651
SeanLuke,1881,1250974512,619
Shinkei,557,1351318602,146
Shivetya,4941,1317901227,1633
SixSigma,947,1390596060,681
Someone,5046,1202503067,3050
Someone1234,3436,1403619631,1089
Spooky23,4262,1337867868,1552
Stefan-H,29,1308241765,7
SwellJoe,17570,1171927404,4307
Symmetry,6718,1271512372,2210
TD-Linux,385,1391143615,178
TazeTSchnitzel,6847,1328319449,3348
TeMPOraL,7686,1280220865,3474
Terr_,562,1384987147,337
Thaxll,48,1358781642,98
TheDong,179,1409192273,56
TheLoneWolfling,761,1377093812,712
TheOtherHobbes,337,1400253679,265
ThinkBeat,89,1381874585,44
ThomPete,7443,1224675490,2855
TkTech,136,1352735553,53
Torgo,1156,1332951308,375
Touche,2801,1378904282,1343
Turing_Machine,3655,1275083321,1493
TylerE,3760,1307458570,1470
UnoriginalGuy,4180,1339178551,1005
VLM,6383,1335704205,3655
VikingCoder,2453,1318337508,938
WalterBright,5574,1256980397,1743
WatchDog,166,1348971439,86
WhitneyLand,246,1363204392,162
XorNot,2121,1358897873,1271
Zikes,4884,1326408406,1168
_-__---,12,1404134540,9
__david__,3915,1236806881,1213
_almosnow,151,1412892075,136
_delirium,33409,1264740195,8707
_nickwhite,15,1398780503,13
a_c_s,302,1340203120,141
aaron-lebo,741,1342201983,215
aaron695,1134,1346450506,574
abecedarius,1862,1183404771,997
acadien,276,1360634331,112
acdanger,1431,1323806111,134
acdha,3126,1207940985,1341
actsasbuffoon,166,1344192681,120
adamnemecek,15673,1311408287,2098
adregan,258,1363148610,120
adrianN,994,1292076015,408
adrusi,437,1305073809,228
adventured,10278,1352969597,2695
aembleton,41,1395827275,35
agumonkey,4496,1318171413,2163
ahlatimer,739,1238448534,336
ahoge,610,1323641108,334
ahomescu1,915,1342217360,550
aidenn0,3942,1226597928,1974
aidos,1907,1291378226,738
ajuc,2127,1238087885,1002
ak217,1938,1300647494,373
alecco,5427,1218493222,1593
amirmc,8566,1249050242,1499
analog31,1246,1373818743,657
andreasklinger,1753,1277804941,352
andrewchambers,251,1405400979,209
angersock,12403,1316617466,4061
anigbrowl,36177,1240107667,11583
annnnd,652,1349172549,301
anon4,640,1384683429,540
antihero,2676,1295169758,1463
anton_gogolev,426,1311845104,128
antr,14747,1310641005,1825
ap22213,1255,1304435814,403
ape4,421,1370459386,406
api,11139,1191540985,2364
applecore,3128,1362879219,849
aqme28,1628,1327077482,299
archagon,1027,1347522419,541
arenaninja,252,1354649408,164
arethuza,14081,1237799878,5137
arram,1459,1228454052,201
arrrg,3926,1238537513,1313
ars,15734,1215505101,6533
artmageddon,845,1282662025,449
aruggirello,83,1380356660,117
astrange,1235,1251438155,511
asveikau,1599,1346806015,697
at-fates-hands,2383,1339001337,1123
atemerev,276,1379448961,39
atmosx,2091,1360059049,1363
atom-morgan,199,1372780807,198
austenallred,7132,1320269586,878
autokad,176,1396645680,205
avinassh,294,1403176152,78
avmich,322,1331681342,259
aw3c2,7907,1247520911,2491
azinman2,371,1338994654,228
azurelogic,75,1359431568,55
baby,1602,1263890147,1053
baddox,11813,1203232489,5847
baldfat,548,1339209017,412
bambax,4857,1212569416,1233
bane,28609,1294545378,6234
barrkel,15782,1172962522,4114
barrystaes,38,1401784708,45
bdcravens,3040,1339271438,1321
bdcs,269,1354830993,119
bduerst,844,1347463562,685
beachstartup,2157,1362005662,846
beagle3,5664,1245457058,2355
bengali3,109,1399647883,136
benihana,3323,1284413379,578
bentcorner,987,1354637308,432
bhouston,1546,1366032724,483
bigethan,343,1283373646,61
billions,-7,1317666349,42
biot,5770,1289278281,1836
bitdestroyer,31,1333997277,17
bjwbell,12,1219685419,11
bkeroack,410,1398962514,184
blhack,15071,1219806105,2349
bluedino,2497,1361823207,1104
bmelton,6519,1222464592,2884
bobbles,1657,1303970635,532
boothead,829,1286988306,356
bostonpete,1180,1297395437,464
boxcardavin,22,1402127813,24
boyaka,101,1376311300,196
bra-ket,1298,1359080965,277
bradleyjg,3643,1325104156,873
brazzy,5050,1251742842,1759
brianbreslin,2200,1247585334,1146
briandear,1739,1301358292,1012
brohee,526,1308671916,234
brohoolio,263,1361393146,81
bsg75,2589,1286332148,776
bshimmin,798,1382798277,266
bsilvereagle,397,1349561679,187
bsimpson,1787,1313124623,599
btbuildem,457,1358464938,231
btown,891,1330128932,364
buckbova,657,1374505543,337
buro9,9529,1199775998,1840
caio1982,2219,1331503893,171
canjobear,184,1382654009,58
captainbenises,348,1365067784,58
carsongross,2408,1280510307,627
carterschonwald,2837,1206847992,996
caycep,647,1306631278,455
cbd1984,519,1405813445,397
cdnsteve,43,1390142388,58
ceallen,51,1389811703,17
ceejayoz,13470,1285277456,3823
cellis,1738,1184723499,824
chatmasta,1793,1336848355,720
chc,14555,1271107560,5297
chippy,2263,1305211394,635
chollida1,4034,1203447498,1178
chongli,1728,1346896967,781
choppaface,46,1286046681,20
chovy,54,1350197005,31
chris_overseas,68,1384563197,19
chrisbennet,864,1244951952,616
chrisseaton,384,1375622685,173
cj,1215,1255809635,308
cjslep,301,1389109563,93
ck2,25228,1269553443,4795
clebio,529,1303649503,265
cloakandswagger,72,1400246518,37
cmsmith,545,1353117119,152
codereflection,414,1303876986,210
codezero,2713,1291771428,1068
coherentpony,1258,1364662063,581
coldcode,2408,1364433640,1000
coldtea,13186,1360252032,5646
colechristensen,1137,1315764440,303
collyw,1293,1374741047,1715
comex,6206,1271286713,1325
comrade1,187,1371197177,119
coob,1511,1298837867,506
cordite,544,1383779241,395
coreymgilmore,1727,1386953314,370
coryl,2122,1251444813,1085
coryrc,339,1215818670,201
cowsandmilk,806,1208835520,230
cpach,1183,1211914197,385
cperciva,36304,1182422025,4874
cpeterso,13819,1294351488,3531
cpwright,462,1384526097,196
craigkerstiens,14621,1221954235,814
crazy1van,443,1334163803,249
crazychrome,18,1377431935,77
crazypyro,836,1304526126,457
crdb,39,1398348838,35
cremno,1058,1332607487,88
cryptoz,12436,1245708088,2400
csandreasen,388,1301181562,272
csours,65,1343448715,69
ctdonath,7191,1285641955,2597
curiously,397,1412378917,199
curun1r,366,1328659713,186
cwal37,867,1382032586,193
cynicalkane,5161,1255268088,1088
daigoba66,1913,1339359632,405
dalke,4673,1258321589,2968
damon_c,378,1318257964,207
danboarder,2724,1290581608,424
dang,10091,1187454947,3743
dangrossman,14753,1206022569,4337
danieldk,6012,1277820886,1512
danielweber,9652,1335815860,3795
danmaz74,4015,1302549259,1431
danso,51243,1308087057,6003
darklajid,4069,1277738802,1775
davesque,314,1329497238,160
davexunit,2122,1365608502,517
david927,4076,1187177872,1363
davidw,38736,1171923925,11255
dbla,193,1353005214,58
ddorian43,657,1305561721,410
deanclatworthy,631,1355824693,228
deciplex,423,1393384865,372
deegles,288,1369852351,77
derekp7,1165,1303755037,620
dghf,100,1393063031,68
dghughes,151,1262366719,159
dharma1,165,1274058459,189
dietrichepp,792,1351528479,204
digi_owl,270,1411501050,331
digikata,717,1284910380,398
diodorus,933,1412802661,61
discardorama,1091,1372876292,345
djb_hackernews,1431,1246485181,644
dllthomas,8335,1338329391,6276
dnissley,121,1324704347,80
doctorshady,1904,1386746850,171
doczoidberg,45,1392676283,53
domenicd,84,1350876270,51
domrdy,58,1355761184,65
dragonwriter,13800,1353015651,7242
drawkbox,2269,1182176159,956
dredmorbius,10647,1310577781,5188
driverdan,5933,1251610164,1488
droopybuns,444,1367294378,196
dropit_sphere,251,1387394271,122
drtse4,1245,1255813027,494
drzaiusapelord,4925,1299515238,1091
dsirijus,2693,1318151456,603
dspillett,2116,1294854440,1096
dsrguru,1238,1328257985,400
dtech,617,1393340108,115
duncanawoods,358,1348875091,102
durkie,349,1324417330,110
duskwuff,2504,1233280328,1019
dyeje,144,1332621698,107
dzhiurgis,194,1323135025,279
easytiger,1226,1192399430,674
ecdavis,214,1313644666,66
einrealist,90,1387185442,106
electromagnetic,4492,1214759989,2291
eli_gottlieb,4397,1294702186,2990
eloisant,921,1330102676,308
emeraldd,483,1301719672,188
emocakes,-12,1383312089,79
emsy,246,1396850468,149
endgame,1301,1270634566,338
enoch_r,600,1339044552,157
enraged_camel,7067,1331447537,1967
eps,2829,1268855892,1066
ericd,5781,1257663682,2049
erjiang,721,1323812274,85
eropple,5759,1302571295,2520
eru,12943,1187280076,9695
evo_9,34477,1271473545,5899
ewindisch,176,1268659091,42
exDM69,4421,1265129801,1199
exelius,973,1383843375,468
exhilaration,190,1280777384,87
exodust,272,1346049819,228
falcolas,2860,1289424572,982
famousactress,5590,1274993207,1005
felixgallo,149,1367627981,130
fennecfoxen,3669,1286338841,1187
ferongr,448,1321379076,133
fidotron,3534,1315438705,813
findjashua,126,1390756153,133
fit2rule,1240,1381501721,1001
fixedd,233,1238014857,160
fla,1265,1310402412,191
flexie,2447,1342443706,358
fnordfnordfnord,5749,1336077870,2404
forgotpasswd3x,123,1403622438,119
forgottenpass,2389,1370280666,631
frandroid,425,1354151801,306
frankdenbow,2232,1280584416,471
franze,9543,1286630092,1151
fredley,755,1311660220,192
freehunter,7475,1320848029,3601
frik,1492,1372507416,793
gadders,2871,1297351998,1606
gaius,22003,1211383539,8183
gambiting,2231,1345850439,946
gamblor956,2064,1250035317,861
gcb0,1975,1357587286,1591
georgeecollins,264,1341428925,137
gergles,2832,1278896431,568
ghaff,1079,1267626213,630
ghosh,12052,1309950175,1784
ghshephard,15690,1206352714,3734
girvo,4284,1338430828,1922
gknoy,1368,1344443520,749
gnopgnip,76,1395092559,83
grahamedgecombe,34,1299098871,18
grandalf,6450,1201661461,2963
graycat,1113,1360792350,1029
grecy,6177,1309891076,1935
greenyoda,6394,1287369331,2295
gregd,1065,1291119073,314
gsnedders,922,1339191105,451
gtrubetskoy,411,1356715076,77
guelo,12561,1247879051,2468
gwern,13490,1239226436,3260
gyardley,5750,1235088593,1442
haberman,10608,1242083008,1764
hackerboos,852,1346098926,532
hackuser,747,1396465457,405
