ID,KARMA,CREATED,SUBMISSIONS
0xdeadbeefbabe,299,1368460202,368
300bps,4365,1367865785,870
31reasons,1248,1346526443,552
3pt14159,6224,1224607489,1580
4ad,2618,1312476682,835
6581,199,1388437132,26
72deluxe,553,1343998480,721
7952,704,1304796090,653
7Figures2Commas,2278,1365188378,768
ANTSANTS,2182,1346073937,584
Aardwolf,1339,1347787789,708
AceJohnny2,1218,1316559292,307
Aissen,2651,1294178865,276
Alex3917,16566,1172270676,5180
Alupis,1146,1400030400,971
AndrewDucker,17544,1228825147,2136
Animats,3206,1410156919,807
AnthonyMouse,4275,1333120512,1812
Argorak,5135,1284649073,1303
Avshalom,1926,1232388989,733
Beltiras,238,1338392349,131
BillinghamJ,50,1328686026,44
BogdanCalin,153,1339047560,27
CJefferson,3539,1276873354,842
CamperBob2,5004,1336344732,2229
CapitalistCartr,3997,1254623962,784
ChikkaChiChi,1799,1309204622,762
Chirael,244,1263854511,69
ChrisNorstrom,4276,1298300901,1020
ChuckMcM,39969,1286399595,8382
CmonDev,1227,1374664896,1431
Confusion,7114,1237877343,2246
Crito,6821,1371720286,2092
Cthulhu_,1678,1347806842,943
DanBC,25330,1316712157,10664
DennisP,2963,1190414133,1444
DigitalSea,4127,1332031567,1431
DonHopkins,212,1397409739,270
DrStalker,1118,1259267126,347
EliRivers,2433,1264112211,946
Encosia,2711,1226887133,646
EpicEng,1102,1372276874,655
ErikRogneby,302,1309890037,276
Estragon,3721,1244331682,1415
FLUX-YOU,242,1372005193,186
Florin_Andrei,2381,1289524417,1131
ForHackernews,5040,1382022801,877
FranOntanaya,60,1364998678,75
Fuxy,909,1351274217,605
GFK_of_xmaspast,1024,1387519891,807
GhotiFish,1614,1359837568,936
Gonzih,267,1316250376,129
GotAnyMegadeth,1364,1349703393,559
Gravityloss,1093,1307024756,714
GuiA,10617,1318288810,1483
HCIdivision17,825,1327628596,340
HamSession,21,1337314312,10
Havoc,775,1286104577,613
HelloMcFly,560,1340734616,248
Houshalter,2352,1345660810,2001
IanDrake,1400,1303766110,535
Igglyboo,1223,1392845652,655
InclinedPlane,25815,1253657907,6616
Intermernet,569,1326332115,436
IvyMike,3559,1236709928,709
JabavuAdams,4252,1214573606,1477
JacobAldridge,9422,1207181253,2004
Jemaclus,948,1337900251,363
JeremyMorgan,1524,1316837518,427
JetSpiegel,593,1383615530,631
JoachimSchipper,5677,1254347939,2399
Joky,35,1413520640,28
JonnieCache,14757,1284370891,3402
JoshTriplett,8810,1264446488,2305
JshWright,3409,1237216070,896
JumpCrisscross,14066,1306841888,3021
Jupe,67,1249618994,42
Kalium,302,1298576149,249
Kenji,224,1389115132,118
Kequc,489,1362407548,280
KevinEldon,433,1288983162,138
Keyframe,2319,1231686446,1118
Kiro,2549,1328401906,1841
Klinky,1285,1295219432,484
Kluny,555,1277221771,413
LaSombra,1460,1270726536,159
Libertatea,29745,1352069359,2021
Loughla,455,1342448409,212
Lrigikithumer,146,1375695359,39
Luc,3816,1205265313,989
LukeShu,839,1304571961,354
MBCook,3032,1324744720,948
MCRed,521,1398101344,267
Maakuth,2050,1281293283,210
MartinCron,8930,1254521304,2664
Matumio,70,1409473096,33
MereInterest,535,1351175323,140
MichaelGG,7238,1266705139,3057
MichaelMoser123,101,1373563273,130
MicroBerto,166,1394508182,65
Mithaldu,3068,1253970007,885
Narishma,325,1365346965,194
Natsu,6504,1274689291,2716
NicoJuicy,1134,1327395668,927
NoMoreNicksLeft,285,1399066270,273
Osmium,3213,1349615173,898
Pamar,83,1340970108,63
PhasmaFelis,3896,1373349115,1075
ProAm,427,1378244014,235
PuercoPop,338,1333296720,137
Pxtl,5581,1365775470,1872
PythonicAlpha,809,1383324108,471
RandallBrown,1925,1297176425,729
Rapzid,283,1392514645,277
Recoil42,462,1302545125,119
RogerL,1550,1370804549,467
RossM,1095,1220034150,525
RyJones,721,1324317760,312
S4M,1756,1310761128,680
SEJeff,1032,1325788048,625
SG-,368,1340868113,185
STRML,796,1346604197,235
Sanddancer,1670,1320827045,516
Scaevolus,1325,1252248648,389
Schwolop,818,1323662529,343
ScottBurson,4177,1283220040,1643
SeanLuke,1876,1250974512,617
Shad0w59,2,1354672715,25
Shivetya,4915,1317901227,1621
SixSigma,931,1390596060,661
SkyMarshal,7685,1215481137,3021
Someone,5010,1202503067,3027
Someone1234,3231,1403619631,1016
Spooky23,4246,1337867868,1541
SrslyJosh,38,1338938079,17
StavrosK,16110,1272119285,6561
Stratoscope,2727,1292184402,593
Strilanc,1176,1277231207,350
SwellJoe,17330,1171927404,4282
TD-Linux,383,1391143615,175
TazeTSchnitzel,6831,1328319449,3342
TeMPOraL,7530,1280220865,3399
