ID,KARMA,CREATED,SUBMISSIONS
23david,679,1296243811,251
27182818284,1503,1215374975,1085
31reasons,1255,1346526443,558
3pt14159,6240,1224607489,1589
4k,228,1403703869,24
7952,717,1304796090,668
7Figures2Commas,2306,1365188378,786
A1kmm,1053,1282780898,350
Aardwolf,1348,1347787789,715
AceJohnny2,1287,1316559292,326
AdmiralAsshat,235,1381167698,107
Aldo_MX,655,1363402871,331
Alex3917,16581,1172270676,5196
Alupis,1208,1400030400,1018
Amezarak,404,1387591199,181
Animats,3624,1410156919,899
AnthonyMouse,4383,1333120512,1835
ArtDev,247,1374098873,200
Avshalom,1936,1232388989,736
Bahamut,1163,1375545968,699
Beltiras,258,1338392349,149
BigChiefSmokem,149,1330841012,96
Bill_Dimm,550,1339442640,163
Blackthorn,285,1400303399,108
BorisMelnik,390,1383980613,413
BrianEatWorld,202,1339622078,143
BuckRogers,70,1373343538,90
CalRobert,546,1380889315,295
CamperBob2,5027,1336344732,2250
CapitalistCartr,4227,1254623962,821
Chevalier,189,1399694373,70
Chinjut,204,1403545365,128
Chirael,244,1263854511,70
Cogito,647,1335249177,240
ColinWright,74121,1260808770,9634
ConfuciusSay,50,1411760536,11
Confusion,7116,1237877343,2248
CountHackulus,1422,1265065030,418
Crito,6844,1371720286,2111
Cthulhu_,1704,1347806842,955
CurtMonash,741,1330164126,346
CyberDildonics,85,1413726448,84
DanBC,25468,1316712157,10757
DanielBMarkham,35997,1188438568,6312
Danieru,2303,1328424279,489
Ded7xSEoPKYNsDd,29,1410701168,32
DiabloD3,9222,1284316408,1824
DigitalSea,4156,1332031567,1444
Dylan16807,4632,1265294771,3405
EliRivers,2450,1264112211,962
EpicEng,1133,1372276874,675
ExpiredLink,1135,1313415452,781
FLUX-YOU,251,1372005193,194
Flenser,594,1236638356,457
Florin_Andrei,2463,1289524417,1172
FrankenPC,233,1369061471,136
GFK_of_xmaspast,1041,1387519891,839
GFischer,2745,1262195053,2024
GabrielF00,2663,1349355627,246
Glyptodon,1091,1363112949,395
Gracana,872,1388332258,393
GrantS,456,1294317280,119
HillRat,845,1371079822,142
HorizonXP,800,1334912291,342
Houshalter,2397,1345660810,2034
Iftheshoefits,1109,1373980723,554
Igglyboo,1258,1392845652,685
IkmoIkmo,514,1407058090,225
InclinedPlane,25856,1253657907,6634
Infinitesimus,105,1393938870,57
Intermernet,591,1326332115,453
JTon,282,1329620600,167
JabavuAdams,4260,1214573606,1494
JacobAldridge,9675,1207181253,2026
JadeNB,660,1263096729,635
JeremyMorgan,1559,1316837518,442
JeremyNT,119,1363922656,60
JoeAltmaier,6172,1255899679,5401
JonAtkinson,158,1246024331,58
JonnieCache,14786,1284370891,3418
JoshTriplett,8911,1264446488,2336
JulianMorrison,4303,1189176257,1520
JustSomeNobody,52,1398972239,44
Jweb_Guru,219,1396048617,102
Kalium,359,1298576149,286
Karunamon,7880,1302558072,3069
Kiro,2621,1328401906,1901
Lambdanaut,542,1305244485,221
LeoPanthera,449,1398962838,167
LordKano,132,1361827931,61
LukeB_UK,852,1377686794,234
Mahn,772,1348930840,389
Mandatum,348,1340158414,290
McKayDavis,25,1403560318,12
Meekro,154,1367994898,67
MichaelGG,7292,1266705139,3084
Mithaldu,3129,1253970007,908
Moru,101,1389102877,84
MrBuddyCasino,1104,1321829444,430
MrDom,76,1409929072,82
MrDosu,40,1382631721,61
NhanH,426,1360888947,241
Ntrails,656,1345135668,337
Nursie,6122,1340604118,2528
ObviousScience,520,1406368550,215
Patrick_Devine,620,1371957753,334
Perdition,261,1392728719,140
PhasmaFelis,3916,1373349115,1092
ProAm,445,1378244014,249
Pxtl,5598,1365775470,1880
PythonicAlpha,813,1383324108,482
Retric,10831,1190391118,6315
Roboprog,874,1275445272,854
RogerL,1629,1370804549,493
Rovanion,301,1340106356,54
S4M,1814,1310761128,689
SAI_Peregrinus,62,1398232880,44
SEJeff,1064,1325788048,637
Sanddancer,1718,1320827045,530
SchizoDuckie,857,1331628055,339
ScottBurson,4243,1283220040,1663
SeanDav,3138,1287567302,716
Sharlin,1716,1245422911,471
Shivetya,4981,1317901227,1646
SideburnsOfDoom,2674,1321698086,1023
Silhouette,6766,1238887875,2365
SixSigma,1016,1390596060,714
SoftwareMaven,11415,1203521523,3125
Someone,5082,1202503067,3064
Someone1234,3552,1403619631,1112
Spooky23,4301,1337867868,1569
Svip,1195,1354147300,409
SwellJoe,17613,1171927404,4318
Symmetry,6765,1271512372,2214
TD-Linux,392,1391143615,180
TazeTSchnitzel,6861,1328319449,3362
TeMPOraL,7874,1280220865,3557
Terr_,592,1384987147,357
Thaxll,48,1358781642,99
TheCoelacanth,669,1360938133,472
TheCraiggers,796,1366371214,268
TheDong,181,1409192273,59
TheOtherHobbes,364,1400253679,275
Thevet,4352,1409753582,177
ThomPete,7469,1224675490,2877
TickleSteve,58,1403696983,19
TillE,4145,1294139552,1252
ToastyMallows,439,1367800733,273
Too,862,1317974287,483
Torgo,1164,1332951308,382
Tossrock,697,1303940381,199
Touche,2807,1378904282,1356
Turing_Machine,3658,1275083321,1497
TylerE,3770,1307458570,1475
UK-AL,819,1329445632,487
UnoriginalGuy,4191,1339178551,1011
UrMomReadsHN,248,1408144087,255
VLM,6403,1335704205,3668
VexXtreme,1537,1345822826,233
WalterBright,5635,1256980397,1760
WestCoastJustin,9437,1273679131,1761
Xorlev,468,1276197027,192
Xylakant,3505,1307117007,1087
YokoZar,1221,1314199553,372
Zaheer,1228,1324893424,251
ZoF,618,1373170099,324
__Joker,724,1253054442,179
_almosnow,117,1412892075,152
_delirium,33501,1264740195,8739
_halgari,674,1372189335,51
_pius,22276,1237177974,2626
_pmf_,1404,1358784169,695
_random_,1004,1373653437,1025
a3n,2594,1364540552,1314
abalone,3858,1312155477,731
acadien,286,1360634331,120
acdha,3153,1207940985,1353
aceperry,145,1363906480,181
acgourley,3083,1172011844,932
