ID,KARMA,CREATED,SUBMISSIONS
0x0,5171,1288173577,1245
13,135,1412355397,65
300bps,4289,1367865785,851
31reasons,1220,1346526443,521
3pt14159,6138,1224607489,1542
3rd3,1619,1348982153,753
4ad,2581,1312476682,811
54mf,503,1315831820,219
72deluxe,462,1343998480,648
7952,682,1304796090,636
8_hours_ago,150,1380157068,70
AJ007,3680,1294341645,863
Aardwolf,1209,1347787789,685
Aaronneyer,208,1323499713,73
AdmiralAsshat,220,1381167698,83
AhtiK,1349,1255448392,259
Aldo_MX,548,1363402871,282
Alex3917,16334,1172270676,5116
Already__Taken,395,1352681940,249
Alupis,883,1400030400,816
AlyssaRowan,594,1401661586,265
Animats,1811,1410156919,410
AnthonyMouse,4197,1333120512,1763
Argorak,4893,1284649073,1224
Arnt,86,1310017182,57
AznHisoka,2274,1207186666,1987
Bahamut,994,1375545968,564
BinaryIdiot,99,1396543267,79
Bjoern,604,1213921728,356
Blahah,3255,1355328083,576
BogdanCalin,150,1339047560,21
BuildTheRobots,214,1373367941,112
CJefferson,3517,1276873354,831
CamperBob2,4836,1336344732,2115
Canada,216,1306686335,145
Carrok,25,1310230053,11
ChuckMcM,38713,1286399595,8127
CmonDev,1186,1374664896,1308
Cogito,612,1335249177,227
Cthulhu_,1605,1347806842,879
CyberDildonics,21,1413726448,28
Cyther606,169,1403674143,61
DanBC,24720,1316712157,10335
DanielBMarkham,35839,1188438568,6247
DennisP,2904,1190414133,1396
DiabloD3,8844,1284316408,1734
DigitalSea,3941,1332031567,1345
DominikR,1043,1333386019,349
DonHopkins,164,1397409739,214
DontBeADick,123,1393509459,41
Dylan16807,4417,1265294771,3222
Encosia,2684,1226887133,632
EpicEng,1049,1372276874,601
Eric_WVGG,125,1382532791,51
Estragon,3716,1244331682,1411
ExpiredLink,1101,1313415452,692
FleshGordon,26,1391588950,7
Florin_Andrei,2235,1289524417,1050
FreakyT,141,1370046750,54
GFK_of_xmaspast,810,1387519891,638
GFischer,2687,1262195053,1974
GabrielF00,2374,1349355627,191
Gonzih,253,1316250376,123
Goopplesoft,542,1349536047,270
GotAnyMegadeth,1247,1349703393,524
Gravityloss,1004,1307024756,666
Hansi,228,1350388605,116
Hario,117,1341180646,27
Havvy,83,1396331921,60
Houshalter,2187,1345660810,1846
Htsthbjig,392,1398678818,144
ISL,3857,1348260249,990
Igglyboo,968,1392845652,527
IgorPartola,7255,1258663242,2364
Immortalin,143,1409906526,68
InclinedPlane,25607,1253657907,6532
Istof,723,1386855406,348
IvyMike,3323,1236709928,655
Ixiaus,2406,1245812536,821
JacobAldridge,9353,1207181253,1971
JasonCEC,126,1387866547,38
JeremyNT,116,1363922656,53
JetSpiegel,508,1383615530,555
JoeAltmaier,6025,1255899679,5190
JohnBooty,1287,1336670777,348
JonnieCache,14641,1284370891,3361
JoshTriplett,8102,1264446488,2198
JulianMorrison,4188,1189176257,1491
JumpCrisscross,13632,1306841888,2957
Karunamon,7645,1302558072,2951
Khao,542,1268370079,223
Kiro,2391,1328401906,1695
Lambdanaut,477,1305244485,202
LanceH,445,1366118347,205
LukeB_UK,702,1377686794,185
LunaSea,51,1357592407,67
MCRed,433,1398101344,216
Mangalor,39,1396758658,58
MatthiasP,134,1383008559,63
MaxGabriel,2224,1294633830,558
MaysonL,11508,1200946696,3128
McKayDavis,8,1403560318,4
MichaelGG,6669,1266705139,2777
MicroBerto,96,1394508182,60
Mikeb85,2147,1366939411,1013
MisterNegative,10,1378494665,14
Moto7451,753,1330211533,314
MrBuddyCasino,950,1321829444,334
NDizzle,469,1321285527,224
NaNaN,43,1392384198,87
NamTaf,1070,1354073319,319
Narishma,251,1365346965,169
Natsu,6427,1274689291,2681
NicoJuicy,1084,1327395668,870
NoMoreNicksLeft,229,1399066270,210
Nux,1232,1333360698,626
ObviousScience,425,1406368550,172
Osmium,3115,1349615173,866
Panino,53,1407871735,14
PeterWhittaker,603,1240833731,397
PhantomGremlin,603,1368601809,401
PhasmaFelis,3760,1373349115,1022
Pinckney,498,1272180300,126
Pxl_Buzzard,52,1376687409,27
Pxtl,5442,1365775470,1796
Rafert,32,1368179152,25
Raphael,2588,1202528454,1441
Rapzid,225,1392514645,226
Retric,10644,1190391118,6114
RexRollman,3544,1278673131,1286
RobotCaleb,726,1330442691,251
SamReidHughes,1283,1186242958,778
SandB0x,11370,1255800459,930
Sanddancer,1611,1320827045,478
Shinkei,517,1351318602,132
Shish2k,1616,1337717803,415
Shivetya,4855,1317901227,1547
Shooti,1100,1347823249,132
SideburnsOfDoom,2587,1321698086,981
Siecje,302,1363545473,200
SixSigma,776,1390596060,538
SkyMarshal,7670,1215481137,3010
SloopJon,90,1384526653,56
SoftwareMaven,11139,1203521523,3101
Someone,4827,1202503067,2885
Someone1234,2501,1403619631,821
Spooky23,4061,1337867868,1458
StavrosK,15939,1272119285,6470
SwellJoe,16308,1171927404,4108
Synaesthesia,564,1279786806,320
SyneRyder,268,1297955590,165
T-zex,1849,1279185624,181
Taek,205,1374030693,99
TazeTSchnitzel,6328,1328319449,3139
TeMPOraL,7360,1280220865,3271
Tehnix,309,1344939745,112
Terretta,6621,1266343401,1985
TheLoneWolfling,640,1377093812,588
TheOtherHobbes,220,1400253679,188
Thimothy,10,1407679298,34
TillE,3956,1294139552,1168
Tloewald,3911,1293747256,1700
TorKlingberg,615,1268580718,241
Tossrock,587,1303940381,189
Touche,2756,1378904282,1296
TrainedMonkey,1701,1377806986,607
VLM,6105,1335704205,3452
WallWextra,81,1412705320,23
WalterBright,5173,1256980397,1617
Watabou,425,1338443944,148
WatchDog,163,1348971439,83
WhitneyLand,106,1363204392,114
WildUtah,2823,1268939443,769
WorldWideWayne,161,1395665983,233
X-Istence,4573,1266468729,1845
Xeoncross,254,1300897226,77
Xylakant,3391,1307117007,1045
Yuioup,227,1316092467,200
Zardoz84,82,1330440407,109
Zigurd,4413,1307327198,2443
ZoF,576,1373170099,302
_RPM,181,1347427018,176
_almosnow,90,1412892075,44
_delirium,32973,1264740195,8532
_nullandnull_,203,1375282756,43
_pmf_,1367,1358784169,664
_wmd,1547,1360267249,127
aaron695,1119,1346450506,543
aaronem,1802,1380572392,1136
abcd_f,960,1297093469,433
ac2u,82,1288989323,58
acdha,2925,1207940985,1255
aceperry,110,1363906480,128
achille2,84,1335346988,30
acqq,7314,1269700304,2286
adamnemecek,13797,1311408287,1934
adamtj,557,1234458907,194
adestefan,2861,1278160838,1129
adnam,2418,1172138944,593
adventured,9871,1352969597,2522
adwf,845,1343945507,320
aembleton,38,1395827275,30
aetherson,1152,1353432219,357
aethertap,516,1344856676,132
afandian,637,1354618596,253
afro88,95,1395053944,59
agumonkey,4275,1318171413,1935
aidenn0,3762,1226597928,1876
aikah,389,1401888091,424
ajtulloch,512,1333317302,101
ajuc,1978,1238087885,916
akavel,867,1278947277,158
akerl_,3360,1388776524,556
alain94040,4671,1186803909,1418
albertzeyer,3757,1267554200,759
alexqgb,3985,1237235202,1095
alkonaut,804,1375973001,335
ams6110,9999,1235934045,4446
analog31,1063,1373818743,554
andor,895,1302858242,307
andrea_s,63,1397911323,44
andreasvc,1051,1229983239,878
andrewfong,1974,1191950712,416
andrewstuart2,348,1399383498,107
androidb,168,1368607163,59
andy_ppp,253,1368698769,163
andyidsinga,128,1286211432,145
andyjohnson0,3819,1327426580,927
angersock,12149,1316617466,3848
anigbrowl,35006,1240107667,11171
annnnd,626,1349172549,274
anon1385,7559,1298287543,801
anon4,584,1384683429,477
anonbanker,174,1388266087,268
antsar,695,1374546770,153
anu_gupta,4114,1344452335,434
apayan,137,1299521827,28
api,10204,1191540985,2053
applecore,2391,1362879219,678
aqme28,1609,1327077482,283
archagon,900,1347522419,475
arethuza,13807,1237799878,5018
arh68,594,1327340972,293
arjie,1092,1359574557,445
arrrg,3869,1238537513,1284
ars,15388,1215505101,6347
aruggirello,64,1380356660,88
ascorbic,212,1357127353,42
astazangasta,22,1363804687,19
atmosx,1881,1360059049,1287
ausjke,179,1365603502,183
