ID,KARMA,CREATED,SUBMISSIONS
0x0,5286,1288173577,1295
27182818284,1490,1215374975,1073
31reasons,1243,1346526443,537
72deluxe,535,1343998480,692
7Figures2Commas,2172,1365188378,743
Alex3917,16392,1172270676,5158
Alphasite_,160,1354313715,163
AndrewDucker,17495,1228825147,2124
Animats,2628,1410156919,635
AnthonyMouse,4243,1333120512,1790
Artemis2,536,1378305703,226
Bluestrike2,495,1352131534,111
BruceIV,453,1339881813,272
CanSpice,542,1306357634,173
Canada,226,1306686335,148
CapitalistCartr,3662,1254623962,725
Chris_Newton,928,1266399608,384
ChuckMcM,39510,1286399595,8288
CmonDev,1230,1374664896,1398
ColinWright,72568,1260808770,9521
Cthulhu_,1666,1347806842,930
CyberDildonics,47,1413726448,52
DanAndersen,288,1385140757,82
DanBC,25063,1316712157,10484
DenisM,5377,1208724375,2442
DennisP,2950,1190414133,1424
Derbasti,2347,1242833113,900
Dewie,2098,1364080104,1767
Dylan16807,4487,1265294771,3290
EGreg,3250,1206622687,2291
EliRivers,2416,1264112211,936
EwanG,655,1290304210,357
ExpiredLink,1149,1313415452,732
Florin_Andrei,2296,1289524417,1096
FrankenPC,202,1369061471,125
Fuzzwah,1091,1302236022,524
GFK_of_xmaspast,983,1387519891,750
GFischer,2714,1262195053,1993
GabrielF00,2527,1349355627,208
GhotiFish,1615,1359837568,927
Goopplesoft,550,1349536047,277
Gravityloss,1031,1307024756,694
Havvy,133,1396331921,80
Hermel,440,1276275907,142
Houshalter,2257,1345660810,1920
Htsthbjig,447,1398678818,176
Igglyboo,1179,1392845652,622
IgorPartola,7321,1258663242,2392
IkmoIkmo,424,1407058090,177
InclinedPlane,25713,1253657907,6574
IvyMike,3485,1236709928,688
JabavuAdams,4223,1214573606,1461
Jare,2276,1325195879,626
JeremyMorgan,1502,1316837518,412
JetSpiegel,568,1383615530,606
JoachimSchipper,5665,1254347939,2391
Joky,16,1413520640,22
JonnieCache,14704,1284370891,3383
JoshTriplett,8274,1264446488,2240
JulianMorrison,4251,1189176257,1504
Jun8,5502,1256225845,1610
Karunamon,7711,1302558072,3002
Keyframe,2313,1231686446,1114
Kiro,2437,1328401906,1753
Kluny,551,1277221771,404
LeoPanthera,404,1398962838,152
Leon,300,1182288487,143
Lrigikithumer,104,1375695359,35
Luc,3808,1205265313,985
MBCook,2978,1324744720,919
Marazan,239,1352814870,97
MarkPNeyer,1282,1254426238,360
