ID,KARMA,CREATED,SUBMISSIONS
0x0,6327,1288173577,1625
0x006A,696,1322658652,182
0xdeadbeefbabe,692,1368460202,743
1stranger,27,1413175170,16
27182818284,1814,1215374975,1268
3pt14159,6786,1224607489,1762
4k,346,1403703869,35
51Cards,4007,1271459779,652
72deluxe,994,1343998480,1214
7952,924,1304796090,789
8ig8,2322,1276971819,605
A1kmm,1061,1282780898,356
AJ007,3790,1294341645,910
AdmiralAsshat,771,1381167698,207
Aissen,2846,1294178865,368
Aldo_MX,955,1363402871,468
Alphasite_,294,1354313715,234
Alupis,2114,1400030400,1453
AndrewDucker,19553,1228825147,2307
AndyKelley,2524,1208312593,685
AngrySkillzz,383,1329074541,130
Animats,11056,1410156919,2385
AnthonyMouse,4924,1333120512,2070
Apocryphon,2012,1292377779,1207
Argorak,5461,1284649073,1404
Arnt,285,1310017182,170
Bahamut,1647,1375545968,972
Balgair,1230,1366928486,448
Bedon292,95,1413474978,54
Bill_Dimm,585,1339442640,191
BinaryIdiot,1707,1396543267,657
Blackthorn,640,1400303399,241
BorisMelnik,573,1383980613,610
Brian-Puccio,266,1368288158,66
Bud,4529,1275006986,854
CamperBob2,5360,1336344732,2656
Canada,562,1306686335,246
CapitalistCartr,8680,1254623962,1151
Certified,6,1413219762,4
Chinjut,918,1403545365,267
ChrisNorstrom,4321,1298300901,1043
ChuckMcM,46210,1286399595,9618
CmonDev,1496,1374664896,1789
Coding_Cat,214,1413033817,74
ConfuciusSay,197,1411760536,58
Crito,7884,1371720286,2558
Cshelton,290,1412278994,118
Cthulhu_,2248,1347806842,1256
CyberDildonics,571,1413726448,434
Daishiman,2351,1249310732,698
DanBC,30401,1316712157,13338
DanielBMarkham,36737,1188438568,6596
DasIch,1578,1303054443,509
DenisM,6144,1208724375,2612
DennisP,3816,1190414133,1736
DiabloD3,16690,1284316408,2879
DonHopkins,585,1397409739,626
Dylan16807,5993,1265294771,4381
EGreg,3487,1206622687,2587
EliRivers,2803,1264112211,1315
ErikRogneby,444,1309890037,332
ExpiredLink,1400,1313415452,1152
FireBeyond,2445,1308894996,1206
Fizzadar,336,1326243057,153
Flenser,701,1236638356,491
FrankenPC,537,1369061471,241
GFK_of_xmaspast,1731,1387519891,1468
Garbage,29484,1262237108,3728
GhotiFish,1788,1359837568,1064
Gravityloss,1433,1307024756,888
GuiA,12204,1318288810,1669
Gustomaximus,711,1308653730,494
Guvante,1010,1362680609,565
HCIdivision17,1216,1327628596,446
Hansi,371,1350388605,160
